row_label_raw,row_label_full,Khoản mục,"Bản quyền, bằng sáng chế",Chương trình phần mềm,"Nhăn hiệu, tên thương mại",Đơn vị tính: VND Tổng cộng,"numeric__Bản quyền, bằng sáng chế",numeric__Chương trình phần mềm,"numeric__Nhăn hiệu, tên thương mại",numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư ngày 01/01/2021,Nguyên giá > Số dư ngày 01/01/2021,Số dư ngày 01/01/2021,208.518.000,1.408.725.750,267.227.596,1.884.471.346,208518000.0,1408725750.0,267227596.0,1884471346.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.750.000.000,-,1.750.000.000,,1750000000.0,,1750000000.0
Số dư ngày 31/12/2021,Nguyên giá > Số dư ngày 31/12/2021,Số dư ngày 31/12/2021,208.518.000,3.158.725.750,267.227.596,3.634.471.346,208518000.0,3158725750.0,267227596.0,3634471346.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư ngày 01/01/2021,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2021,Số dư ngày 01/01/2021,147.468.824,1.149.296.885,267.227.596,1.563.993.305,147468824.0,1149296885.0,267227596.0,1563993305.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,36.629.496,782.855.405,-,819.484.901,36629496.0,782855405.0,,819484901.0
Số dư ngày 31/12/2021,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2021,Số dư ngày 31/12/2021,184.098.320,1.932.152.290,267.227.596,2.383.478.206,184098320.0,1932152290.0,267227596.0,2383478206.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 01/01/2021,Giá trị còn lại > Tại ngày 01/01/2021,Tại ngày 01/01/2021,61.049.176,259.428.865,-,320.478.041,61049176.0,259428865.0,,320478041.0
Tại ngày 31/12/2021,Giá trị còn lại > Tại ngày 31/12/2021,Tại ngày 31/12/2021,24.419.680,1.226.573.460,-,1.250.993.140,24419680.0,1226573460.0,,1250993140.0
