row_label_raw,row_label_full,Công ty CP Phát triển nhà và đô thị Phú Quốc,-,3.093.479.453,numeric__-,numeric__3.093.479.453
Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Lãi cho vay > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,9.911.934.596,1.429.547.945,9911934596.0,1429547945.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Lãi cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,6.540.743.150,1.171.804.793,6540743150.0,1171804793.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Lãi cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,5.838.468.494,94.765.753,5838468494.0,94765753.0
