row_label_raw,row_label_full,THUYÊT MINH BÁO CÁO TÀI CHÍNH (tiếp theo),THUYÊT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)_1,THUYÊT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)_2,THUYÊT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)_3,THUYÊT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)_4,Mẫu số B 09 - DN,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)_1,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)_2,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)_3,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)_4,numeric__Mẫu số B 09 - DN
huyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo),huyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo),huyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo),huyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo),huyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo),huyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo),huyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo),Mẫu số B 09 - DN,,,,,
"Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình",Mẫu số B 09 - DN,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc",Phương tiện vận tải,"Thiết bị, dụng cụquản lý",Tài sản cố định khác,Đơn vị tính: VNDCộng,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư ngày 01/01/2021,Nguyên giá > Số dư ngày 01/01/2021,Số dư ngày 01/01/2021,27.031.710.641,11.533.301.818,3.276.032.001,1.550.417.005,43.391.461.465,27031710641.0,11533301818.0,3276032001.0,1550417005.0,43391461465.0
Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,-,-,-,-,,,,,
"Thanh lý, nhượng bán","Đầu tư XDCB hoàn thành > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(63.636.364),-,(63.636.364),,,-63636364.0,,-63636364.0
Số dư ngày 31/12/2021,Đầu tư XDCB hoàn thành > Số dư ngày 31/12/2021,Số dư ngày 31/12/2021,27.031.710.641,11.533.301.818,3.212.395.637,1.550.417.005,43.327.825.101,27031710641.0,11533301818.0,3212395637.0,1550417005.0,43327825101.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư ngày 01/01/2021,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2021,Số dư ngày 01/01/2021,6.405.846.277,7.085.100.179,2.375.127.734,1.550.417.005,17.416.491.195,6405846277.0,7085100179.0,2375127734.0,1550417005.0,17416491195.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,954.853.632,1.441.662.732,484.097.111,-,2.880.613.475,954853632.0,1441662732.0,484097111.0,,2880613475.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(35.353.520),-,(35.353.520),,,-35353520.0,,-35353520.0
Số dư ngày 31/12/2021,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2021,Số dư ngày 31/12/2021,7.360.699.909,8.526.762.911,2.823.871.325,1.550.417.005,20.261.751.150,7360699909.0,8526762911.0,2823871325.0,1550417005.0,20261751150.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 01/01/2021,Giá trị còn lại > Tại ngày 01/01/2021,Tại ngày 01/01/2021,20.625.864.364,4.448.201.639,900.904.267,-,25.974.970.270,20625864364.0,4448201639.0,900904267.0,,25974970270.0
Tại ngày 31/12/2021,Giá trị còn lại > Tại ngày 31/12/2021,Tại ngày 31/12/2021,19.671.010.732,3.006.538.907,388.524.312,-,23.066.073.951,19671010732.0,3006538907.0,388524312.0,,23066073951.0
