row_label_raw,row_label_full,Công ty TNHH C.E.O Quốc tế,80.310.640,85.730.880,numeric__80.310.640,numeric__85.730.880
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,
Công ty CP Xây Dựng C.E.O,Trả trước cho người bán > Công ty CP Xây Dựng C.E.O,Công ty CP Xây Dựng C.E.O,11.256.560.579,6.357.727.917,11256560579.0,6357727917.0
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Trả trước cho người bán > Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,195.061.904,-,195061904.0,
Cho vay,Cho vay,Cho vay,Cho vay,Cho vay,,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Cho vay > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,45.000.000.000,192.000.000.000,45000000000.0,192000000000.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,121.250.000.000,99.750.000.000,121250000000.0,99750000000.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,145.000.000.000,14.300.000.000,145000000000.0,14300000000.0
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Phải thu khác > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,3.403.737.398,2.553.224.704,3403737398.0,2553224704.0
Công ty CP Đầu tư và Phát triển Nha Trang,Phải thu khác > Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,-,1.786.400,,1786400.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Phải thu khác > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,1.680.890.411,18.622.309.953,1680890411.0,18622309953.0
Công ty CP Du Lịch C.E.O,Phải thu khác > Công ty CP Du Lịch C.E.O,Công ty CP Du Lịch C.E.O,-,4.219.160,,4219160.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,Phải thu khác > Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,-,535.516.503,,535516503.0
Công ty CP Xây Dựng C.E.O,Phải thu khác > Công ty CP Xây Dựng C.E.O,Công ty CP Xây Dựng C.E.O,-,17.453.456,,17453456.0
Công ty TNHH C.E.O Hospitality,Phải thu khác > Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,-,9.044.860,,9044860.0
Công ty TNHH C.E.O Quốc tế,Phải thu khác > Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,-,1.432.970,,1432970.0
Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Phải thu khác > Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,-,563.750,,563750.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Phải thu khác > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,5.933.234.247,221.580.875,5933234247.0,221580875.0
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Phải thu khác > Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,-,4.397.360,,4397360.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,,
Công ty CP Du Lịch C.E.O,Phải trả người bán > Công ty CP Du Lịch C.E.O,Công ty CP Du Lịch C.E.O,7.310.000,17.615.000,7310000.0,17615000.0
Công ty TNHH C.E.O Hospitality,Phải trả người bán > Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,4.462.428.477,2.856.914.435,4462428477.0,2856914435.0
Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Phải trả người bán > Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,-,17.600.000,,17600000.0
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Phải trả người bán > Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,-,2.433.651.596,,2433651596.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Phải trả người bán > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,-,5.193.498,,5193498.0
Công ty TNHH Dịch vụ chăm sóc sức khỏe cộng đồng C.E.O,Phải trả người bán > Công ty TNHH Dịch vụ chăm sóc sức khỏe cộng đồng C.E.O,Công ty TNHH Dịch vụ chăm sóc sức khỏe cộng đồng C.E.O,-,7.650.671.787,,7650671787.0
