row_label_raw,row_label_full,Chỉ tiêu > Số dư tại 01/01/2020 > Lãi trong năm trước,Vốn góp của chủ sở hữu > 2.573.399.850.000 > -,Lợi nhuận sau thuế chưa phân phối > 373.453.569.664 > 20.405.071.621,Đơn vị tính: VND Cộng > 2.946.853.419.664 > 20.405.071.621,numeric__Vốn góp của chủ sở hữu > 2.573.399.850.000 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 373.453.569.664 > 20.405.071.621,numeric__Đơn vị tính: VND Cộng > 2.946.853.419.664 > 20.405.071.621
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,(12.930.472.656),(12.930.472.656),,-12930472656.0,-12930472656.0
Số dư tại 31/12/2020,Số dư tại 31/12/2020,Số dư tại 31/12/2020,2.573.399.850.000,380.928.168.629,2.954.328.018.629,2573399850000.0,380928168629.0,2954328018629.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,89.246.549.315,89.246.549.315,,89246549315.0,89246549315.0
Số dư tại 31/12/2021,Số dư tại 31/12/2021,Số dư tại 31/12/2021,2.573.399.850.000,470.174.717.944,3.043.574.567.944,2573399850000.0,470174717944.0,3043574567944.0
