row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2021,Đơn vị tính: VND 01/01/2021,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021,numeric__Đơn vị tính: VND 01/01/2021
C,C,C,NỘ PHẢI TRẢ,300,,388.261.843.998,538.254.126.508,,300.0,,388261843998.0,538254126508.0
I,I,I,Nợ ngắn hạn,310,,275.378.960.709,419.956.261.844,,310.0,,275378960709.0,419956261844.0
1,1,1,Phải trả người bán ngắn hạn,311,V.13.,28.339.802.336,53.362.008.350,,311.0,,28339802336.0,53362008350.0
2,2,2,Người mua trả tiền trước ngắn hạn,312,V.14.,47.599.962.751,122.838.693.466,,312.0,,47599962751.0,122838693466.0
3,3,3,Thuế và các khoản phải nộp Nhà nước,313,V.15.,6.310.496.103,27.723.298.605,,313.0,,6310496103.0,27723298605.0
4,4,4,Phải trả người lao động,314,,1.755.581.046,2.194.665.786,,314.0,,1755581046.0,2194665786.0
5,5,5,Chỉ phí phải trả ngắn hạn,315,V.16.,153.713.172.125,168.426.575.785,,315.0,,153713172125.0,168426575785.0
6,6,6,Doanh thu chưa thực hiện ngắn hạn,318,V.15.,2.872.665.156,4.182.307.558,,318.0,,2872665156.0,4182307558.0
7,7,7,Phải trả ngắn hạn khác,319,V.19.,15.837.699.128,26.101.030.230,,319.0,,15837699128.0,26101030230.0
8,8,8,Vay và nợ thuê tài chính ngắn hạn,320,V.18.,5.972.000.000,-,,320.0,,5972000000.0,
9,9,9,"Quỹ khen thưởng, phúc lợi",322,,12.977.582.064,15.127.682.064,,322.0,,12977582064.0,15127682064.0
II,II,II,Nợ dài hạn,330,,112.882.883.289,118.297.864.664,,330.0,,112882883289.0,118297864664.0
1,1,1,Doanh thu chưa thực hiện dài hạn,336,,77.623.320.802,79.940.434.830,,336.0,,77623320802.0,79940434830.0
2,2,2,Phải trả dài hạn khác,337,V.19.,35.259.562.487,32.385.429.834,,337.0,,35259562487.0,32385429834.0
3,3,3,Vay và nợ thuê tài chính dài hạn,338,V.18.,-,5.972.000.000,,338.0,,,5972000000.0
D,D,D,VỐN CHỦ SỞ HỮU,400,,3.128.150.528.494,3.038.903.979.179,,400.0,,3128150528494.0,3038903979179.0
I,I,I,Vốn chủ sở hữu,410,V.20.,3.128.150.528.494,3.038.903.979.179,,410.0,,3128150528494.0,3038903979179.0
1,1,1,Vốn góp của chủ sở hữu,411,,2.573.399.850.000,2.573.399.850.000,,411.0,,2573399850000.0,2573399850000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.573.399.850.000,2.573.399.850.000,,,,2573399850000.0,2573399850000.0
2,2,2,Quỹ đầu tư phát triển,418,,84.575.960.550,84.575.960.550,,418.0,,84575960550.0,84575960550.0
3,3,3,Lợi nhuận sau thuế chưa phân phối,421,,470.174.717.944,380.928.168.629,,421.0,,470174717944.0,380928168629.0
,,,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,380.928.168.629,360.523.097.008,,,,380928168629.0,360523097008.0
,,,- LNST chưa phân phối kỳ này,421b,,89.246.549.315,20.405.071.621,,,,89246549315.0,20405071621.0
II,II,II,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,3.516.412.372.492,3.577.158.105.687,,440.0,,3516412372492.0,3577158105687.0
