row_label_raw,row_label_full,col_0,Lãi phải thu,10.166.130.138,-,2.704.447.258,-_1,numeric__Lãi phải thu,numeric__10.166.130.138,numeric__-,numeric__2.704.447.258,numeric__-_1
,,,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,2.536.027.398,-,1.429.547.945,-,,2536027398.0,,1429547945.0,
,,,Công ty CP Đầu tư và Phát triển Phú Quốc,1.680.890.411,-,1.171.804.793,-,,1680890411.0,,1171804793.0,
,,,Công ty TNHH MTV Phú Kiên Phú Quốc,5.933.234.247,-,94.765.753,-,,5933234247.0,,94765753.0,
,,,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân,15.978.082,-,8.328.767,-,,15978082.0,,8328767.0,
,,,Phải thu khác,3.258.449.162,-,23.816.334.911,-,,3258449162.0,,23816334911.0,
,,,Công ty CP Đầu tư và Phát triển Phú Quốc,-,-,17.450.505.160,-,,,,17450505160.0,
,,,Thuế TNCN phải thu CBCNV,1.431.307.888,-,1.335.219.321,-,,1431307888.0,,1335219321.0,
,,,Các đối tượng khác,1.827.141.274,-,5.030.610.430,-,,1827141274.0,,5030610430.0,
,,,Dự nợ phải trả khác,310.282.540,-,177.782.540,-,,310282540.0,,177782540.0,
b),b),b),Dài hạn,1.692.084.000,-,1.692.084.000,-,,1692084000.0,,1692084000.0,
b),b),b),Phải thu khác,1.692.084.000,-,1.692.084.000,-,,1692084000.0,,1692084000.0,
b),b),b),Ban đến bù giải phóng mặt bằng Quốc Oai (4),1.692.084.000,-,1.692.084.000,-,,1692084000.0,,1692084000.0,
b),b),b),Cộng,36.545.256.504,(5.100.000.000),49.404.915.861,(5.100.000.000),,36545256504.0,-5100000000.0,49404915861.0,-5100000000.0
