row_label_raw,row_label_full,Lỗ được chuyển và bù trừ lãi lỗ các hoạt động,-,(1.650.831.250),numeric__-,numeric__(1.650.831.250)
Thu nhập tính thuế thu nhập doanh nghiệp,Thu nhập tính thuế thu nhập doanh nghiệp,Thu nhập tính thuế thu nhập doanh nghiệp,20.692.763.759,123.801.702.578,20692763759.0,123801702578.0
Thuế suất thuế thu nhập doanh nghiệp hiện hành,Thuế suất thuế thu nhập doanh nghiệp hiện hành,Thuế suất thuế thu nhập doanh nghiệp hiện hành,20%,20%,0.2,0.2
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế hoạt động sản xuất kinh doanh thông thường năm hiện hành (2),Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế hoạt động sản xuất kinh doanh thông thường năm hiện hành (2),Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế hoạt động sản xuất kinh doanh thông thường năm hiện hành (2),4.138.552.751,24.760.340.515,4138552751.0,24760340515.0
Hoạt động kinh doanh nhà ở xã hội (ưu đãi thuế TNDN 10%),Hoạt động kinh doanh nhà ở xã hội (ưu đãi thuế TNDN 10%),Hoạt động kinh doanh nhà ở xã hội (ưu đãi thuế TNDN 10%),Hoạt động kinh doanh nhà ở xã hội (ưu đãi thuế TNDN 10%),Hoạt động kinh doanh nhà ở xã hội (ưu đãi thuế TNDN 10%),,
Lợi nhuận kế toán trước thuế thu nhập doanh nghiệp,Hoạt động kinh doanh nhà ở xã hội (ưu đãi thuế TNDN 10%) > Lợi nhuận kế toán trước thuế thu nhập doanh nghiệp,Lợi nhuận kế toán trước thuế thu nhập doanh nghiệp,2.398.645.505,(1.683.702.066),2398645505.0,-1683702066.0
Các khoản thu nhập được miễn thuế thu nhập doanh nghiệp,Các khoản thu nhập được miễn thuế thu nhập doanh nghiệp,Các khoản thu nhập được miễn thuế thu nhập doanh nghiệp,-,-,,
Chi phí không được trừ khi tính thuế thu nhập doanh nghiệp,Các khoản thu nhập được miễn thuế thu nhập doanh nghiệp > Chi phí không được trừ khi tính thuế thu nhập doanh nghiệp,Chi phí không được trừ khi tính thuế thu nhập doanh nghiệp,9.608.255,32.870.817,9608255.0,32870817.0
Thu nhập tính thuế thu nhập doanh nghiệp,Các khoản thu nhập được miễn thuế thu nhập doanh nghiệp > Thu nhập tính thuế thu nhập doanh nghiệp,Thu nhập tính thuế thu nhập doanh nghiệp,2.408.253.760,(1.650.831.249),2408253760.0,-1650831249.0
Thuế suất thuế thu nhập doanh nghiệp hiện hành,Các khoản thu nhập được miễn thuế thu nhập doanh nghiệp > Thuế suất thuế thu nhập doanh nghiệp hiện hành,Thuế suất thuế thu nhập doanh nghiệp hiện hành,10%,10%,0.1,0.1
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế hoạt động sản xuất kinh doanh thông thường năm hiện hành (3),Các khoản thu nhập được miễn thuế thu nhập doanh nghiệp > Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế hoạt động sản xuất kinh doanh thông thường năm hiện hành (3),Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế hoạt động sản xuất kinh doanh thông thường năm hiện hành (3),240.825.376,-,240825376.0,
Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm nay (4),Các khoản thu nhập được miễn thuế thu nhập doanh nghiệp > Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm nay (4),Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm nay (4),110.583.831,-,110583831.0,
Tổng chi phí thuế thu nhập doanh nghiệp hiện hành (5)=(1)+(2)+(3)+(4),Các khoản thu nhập được miễn thuế thu nhập doanh nghiệp > Tổng chi phí thuế thu nhập doanh nghiệp hiện hành (5)=(1)+(2)+(3)+(4),Tổng chi phí thuế thu nhập doanh nghiệp hiện hành (5)=(1)+(2)+(3)+(4),8.429.707.686,24.760.340.515,8429707686.0,24760340515.0
