row_label_raw,row_label_full,Ông Nguyễn Văn Tiến,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Trần Xuân Bạo,Ông Trần Xuân Bạo,Ông Trần Xuân Bạo,Giám đốc Tài chính,
Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng,Giám đốc Kỹ thuật,
