row_label_raw,row_label_full,col_0,Công tyCổ phầnLogisticsCăng Đà NẵngVND,Công tyCổ phần Căngdịch vụ Đầu khíĐình VũVND,Công tyTNHH TuyênContainer T.SHà NộiVND,Tổng cộngVND,numeric__Công tyCổ phầnLogisticsCăng Đà NẵngVND,numeric__Công tyCổ phần Căngdịch vụ Đầu khíĐình VũVND,numeric__Công tyTNHH TuyênContainer T.SHà NộiVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,14.855.002.950,95.219.162.192,2.002.500.000,112.076.665.142,14855002950.0,95219162192.0,2002500000.0,112076665142.0
Lãi từ công ty liên kết,Lãi từ công ty liên kết,Lãi từ công ty liên kết,3.425.302.772,3.429.714.506,-,6.855.017.278,3425302772.0,3429714506.0,,6855017278.0
Cổ tức,Cổ tức,Cổ tức,(2.708.400.000),(4.409.000.000),-,(7.117.400.000),-2708400000.0,-4409000000.0,,-7117400000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,15.571.905.722,94.239.876.698,2.002.500.000,111.814.282.420,15571905722.0,94239876698.0,2002500000.0,111814282420.0
