row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,455.571.420.000,36.141.891.246,598.595.119.872,258.295.915.770,166.886.296.702,1.515.490.643.590,455571420000.0,36141891246.0,598595119872.0,258295915770.0,166886296702.0,1515490643590.0
Vốn góp,Vốn góp,Vốn góp,-,-,-,-,48.750.000.000,48.750.000.000,,,,,48750000000.0,48750000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,237.278.566.793,26.549.363.050,263.827.929.843,,,,237278566793.0,26549363050.0,263827929843.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,47.986.354.719,(47.986.354.719),-,-,,,47986354719.0,-47986354719.0,,
Phân bổ vào quỹ,Phân bổ vào quỹ,Phân bổ vào quỹ,,,,,,,,,,,,
khen thưởng và phúc lợi,Phân bổ vào quỹ > khen thưởng và phúc lợi,khen thưởng và phúc lợi,-,-,-,(24.201.860.000),-,(24.201.860.000),,,,-24201860000.0,,-24201860000.0
Cổ tức,Phân bổ vào quỹ > Cổ tức,Cổ tức,45.551.620.000,-,-,(136.665.904.000),(1.281.000.000),(92.395.284.000),45551620000.0,,,-136665904000.0,-1281000000.0,-92395284000.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Phân bổ vào quỹ > Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.075.000.000),-,(2.075.000.000),,,,-2075000000.0,,-2075000000.0
Các biến động khác,Phân bổ vào quỹ > Các biến động khác,Các biến động khác,-,(94.000.000),-,243.249.099,-,149.249.099,,-94000000.0,,243249099.0,,149249099.0
Số dư tại ngày 1/1/2018,Phân bổ vào quỹ > Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,501.123.040.000,36.047.891.246,646.581.474.591,284.888.612.943,240.904.659.752,1.709.545.678.532,501123040000.0,36047891246.0,646581474591.0,284888612943.0,240904659752.0,1709545678532.0
Vốn góp,Phân bổ vào quỹ > Vốn góp,Vốn góp,-,-,-,-,6.800.000.000,6.800.000.000,,,,,6800000000.0,6800000000.0
Lợi nhuận thuần trong năm,Phân bổ vào quỹ > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,300.408.605.009,53.836.401.480,354.245.006.489,,,,300408605009.0,53836401480.0,354245006489.0
Phân bổ vào các quỹ,Phân bổ vào quỹ > Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,78.153.177.942,(78.153.177.942),-,-,,,78153177942.0,-78153177942.0,,
Phân bổ vào quỹ,Phân bổ vào quỹ,Phân bổ vào quỹ,,,,,,,,,,,,
khen thưởng và phúc lợi,Phân bổ vào quỹ > khen thưởng và phúc lợi,khen thưởng và phúc lợi,-,-,-,(22.285.000.000),-,(22.285.000.000),,,,-22285000000.0,,-22285000000.0
Cổ tức,Phân bổ vào quỹ > Cổ tức,Cổ tức,-,-,-,(100.224.608.000),(1.067.500.000),(101.292.108.000),,,,-100224608000.0,-1067500000.0,-101292108000.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Phân bổ vào quỹ > Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.444.000.000),-,(2.444.000.000),,,,-2444000000.0,,-2444000000.0
Số dư tại ngày 31/12/2018,Phân bổ vào quỹ > Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,501.123.040.000,36.047.891.246,724.734.652.533,382.190.432.010,300.473.561.232,1.944.569.577.021,501123040000.0,36047891246.0,724734652533.0,382190432010.0,300473561232.0,1944569577021.0
