row_label_raw,row_label_full,col_0,Hoạt động bốcđỡ containerVND,"Hoạt độngchạy lạnh, kiểm hóa,kiểm dịch, lưu kho,lưu bãiVND",Hoạt độngvận chuyểnVND,Hoạt động khácVND,Tổng cộngVND,numeric__Hoạt động bốcđỡ containerVND,"numeric__Hoạt độngchạy lạnh, kiểm hóa,kiểm dịch, lưu kho,lưu bãiVND",numeric__Hoạt độngvận chuyểnVND,numeric__Hoạt động khácVND,numeric__Tổng cộngVND
Tài sản của bộ phậnTài sản không phân bổ,Tài sản của bộ phậnTài sản không phân bổ,Tài sản của bộ phậnTài sản không phân bổ,821.545.987.904,176.042.366.800,160.316.064.754,62.232.468.853,1.220.136.888.3111.258.865.451.201,821545987904.0,176042366800.0,160316064754.0,62232468853.0,1.220136888311126e+25
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,2.479.002.339.512,,,,,2479002339512.0
Nợ phải trả của bộ phậnCác khoản nợ không phân bổ,Nợ phải trả của bộ phậnCác khoản nợ không phân bổ,Nợ phải trả của bộ phậnCác khoản nợ không phân bổ,79.014.307.789,4.709.879.009,4.279.158.849,15.051.952.801,103.055.298.448666.401.362.532,79014307789.0,4709879009.0,4279158849.0,15051952801.0,1.030552984486664e+23
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,769.456.660.980,,,,,769456660980.0
Chỉ tiêu vốnKhấu hao tài sản cố định hữu hìnhKhấu hao tài sản cố định vô hình,Chỉ tiêu vốnKhấu hao tài sản cố định hữu hìnhKhấu hao tài sản cố định vô hình,Chỉ tiêu vốnKhấu hao tài sản cố định hữu hìnhKhấu hao tài sản cố định vô hình,221.981.069.497142.955.643.742,75.459.910.07918.978.540.234,37.608.831.0967.718.871.351,50.027.667.67110.162.925.086,385.077.478.343179.815.980.4131.823.895.128,2.2198106949714297e+23,7.545991007918978e+21,3.760883109677189e+20,5.002766767110163e+21,3.850774783431798e+33
