row_label_raw,row_label_full,col_0,Địa chỉ,31/12/2018 và 1/1/2018,31/12/2018 và 1/1/2018_1,numeric__Địa chỉ,numeric__31/12/2018 và 1/1/2018,numeric__31/12/2018 và 1/1/2018_1
,,,Địa chỉ,% sở hữuvà quyềnbiểu quyết,Giá gốcVND,,,
Công ty TNHH MSC Việt Nam Thành phố Hồ Chí Minh,Công ty TNHH MSC Việt Nam Thành phố Hồ Chí Minh,Công ty TNHH MSC Việt Nam Thành phố Hồ Chí Minh,Công ty TNHH MSC Việt Nam Thành phố Hồ Chí Minh,5%,155.000.000,,0.05,155000000.0
