row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,794.154.236.684,65.738.679.896,1.037.441.110.614,27.258.733.474,1.924.592.760.668,794154236684.0,65738679896.0,1037441110614.0,27258733474.0,1924592760668.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.302.584.300,151.790.872,13.335.611.916,103.338.636,15.893.325.724,2302584300.0,151790872.0,13335611916.0,103338636.0,15893325724.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,7.315.748.444,13.261.650.668,158.961.513.904,308.082.000,179.846.995.016,7315748444.0,13261650668.0,158961513904.0,308082000.0,179846995016.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(10.046.915.520),-,(10.046.915.520),,,-10046915520.0,,-10046915520.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,803.772.569.428,79.152.121.436,1.199.691.320.914,27.670.154.110,2.110.286.165.888,803772569428.0,79152121436.0,1199691320914.0,27670154110.0,2110286165888.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,244.347.265.306,20.612.380.047,460.796.714.571,7.884.538.003,733.640.897.927,244347265306.0,20612380047.0,460796714571.0,7884538003.0,733640897927.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,60.985.132.470,12.410.345.833,130.763.755.812,3.736.091.964,207.895.326.079,60985132470.0,12410345833.0,130763755812.0,3736091964.0,207895326079.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(10.006.994.933),-,(10.006.994.933),,,-10006994933.0,,-10006994933.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,305.332.397.776,33.022.725.880,581.553.475.450,11.620.629.967,931.529.229.073,305332397776.0,33022725880.0,581553475450.0,11620629967.0,931529229073.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,549.806.971.378,45.126.299.849,576.644.396.043,19.374.195.471,1.190.951.862.741,549806971378.0,45126299849.0,576644396043.0,19374195471.0,1190951862741.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,498.440.171.652,46.129.395.556,618.137.845.464,16.049.524.143,1.178.756.936.815,498440171652.0,46129395556.0,618137845464.0,16049524143.0,1178756936815.0
