row_label_raw,row_label_full,col_0,1/1/2018Giá trị ghi sổ và số có khả năng trả nợ VND,Biến động tăng trong năm VND,Biến động giảm trong năm VND,31/12/2018Giá trị ghi sổ và số có khả năng trả nợ VND,numeric__1/1/2018Giá trị ghi sổ và số có khả năng trả nợ VND,numeric__Biến động tăng trong năm VND,numeric__Biến động giảm trong năm VND,numeric__31/12/2018Giá trị ghi sổ và số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,5.000.000.000,-,(5.000.000.000),-,5000000000.0,,-5000000000.0,
Vay dài hạn đến hạn trả (b),Vay dài hạn đến hạn trả (b),Vay dài hạn đến hạn trả (b),114.518.000.000,15.706.500.000,(116.136.000.000),14.088.500.000,114518000000.0,15706500000.0,-116136000000.0,14088500000.0
,,,119.518.000.000,15.706.500.000,(121.136.000.000),14.088.500.000,119518000000.0,15706500000.0,-121136000000.0,14088500000.0
