row_label_raw,row_label_full,Tên,Địa chỉ,Ngành nghề kinh doanh,Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết (%),numeric__Địa chỉ,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ quyền biểu quyết (%)
Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,
- Công ty cổ phần Tasco Nam Thái,Công ty con trực tiếp > - Công ty cổ phần Tasco Nam Thái,- Công ty cổ phần Tasco Nam Thái,Thái Bình,Xây lắp,"99,97%","99,97%",,,0.9997,0.9997
- Công ty cổ phần VETC,Công ty con trực tiếp > - Công ty cổ phần VETC,- Công ty cổ phần VETC,Hà Nội,Dịch vụ,"99,26%","99,26%",,,0.9926,0.9926
- Công ty TNHH MTV Tasco Nam Định,Công ty con trực tiếp > - Công ty TNHH MTV Tasco Nam Định,- Công ty TNHH MTV Tasco Nam Định,Nam Định,Xây lắp,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH MTV Tasco 6,Công ty con trực tiếp > - Công ty TNHH MTV Tasco 6,- Công ty TNHH MTV Tasco 6,Nam Định,Hạ tầng giao thông,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH MTV Tasco Quảng Bình,Công ty con trực tiếp > - Công ty TNHH MTV Tasco Quảng Bình,- Công ty TNHH MTV Tasco Quảng Bình,Quảng Bình,Hạ tầng giao thông,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH MTV Tasco Hải Phòng,Công ty con trực tiếp > - Công ty TNHH MTV Tasco Hải Phòng,- Công ty TNHH MTV Tasco Hải Phòng,Hải Phòng,Hạ tầng giao thông,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH MTV Dịch vụ Tasco,Công ty con trực tiếp > - Công ty TNHH MTV Dịch vụ Tasco,- Công ty TNHH MTV Dịch vụ Tasco,Hà Nội,Dịch vụ,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH Tasco Land,Công ty con trực tiếp > - Công ty TNHH Tasco Land,- Công ty TNHH Tasco Land,Hà Nội,Bắt động sản,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH Bảo hiểm Tasco,Công ty con trực tiếp > - Công ty TNHH Bảo hiểm Tasco,- Công ty TNHH Bảo hiểm Tasco,Hà Nội,Bảo hiểm phi nhân thọ,"100,00%","100,00%",,,1.0,1.0
Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,
- Công ty TNHH thu phí tự động VETC,Công ty con gián tiếp > - Công ty TNHH thu phí tự động VETC,- Công ty TNHH thu phí tự động VETC,Hà Nội,Dịch vụ thu phí,"99,35%","100,00%",,,0.9934999999999999,1.0
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,,
- Công ty TNHH BOT Hùng Thắng Phú Thọ,"Công ty liên doanh, liên kết > - Công ty TNHH BOT Hùng Thắng Phú Thọ",- Công ty TNHH BOT Hùng Thắng Phú Thọ,Phú Thọ,Hạ tầng giao thông,"30,00%","30,00%",,,0.3,0.3
"Công ty liên doanh, liên kết gián tiếp","Công ty liên doanh, liên kết gián tiếp","Công ty liên doanh, liên kết gián tiếp","Công ty liên doanh, liên kết gián tiếp","Công ty liên doanh, liên kết gián tiếp","Công ty liên doanh, liên kết gián tiếp","Công ty liên doanh, liên kết gián tiếp",,,,
- Công ty TNHH NVT Holdings,"Công ty liên doanh, liên kết gián tiếp > - Công ty TNHH NVT Holdings",- Công ty TNHH NVT Holdings,Hà Nội,Bắt động sản,"20,00%","20,00%",,,0.2,0.2
