row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Phải thu khác từ bên thứ ba,Phải thu khác từ bên thứ ba,Phải thu khác từ bên thứ ba,291.914.481.905,(14.141.599.875),243.166.190.756,(5.400.421.625),291914481905.0,-14141599875.0,243166190756.0,-5400421625.0
Tạm ứng,Tạm ứng,Tạm ứng,11.634.751.771,(8.674.895.788),11.815.778.628,(3.286.973.157),11634751771.0,-8674895788.0,11815778628.0,-3286973157.0
"Phải thu về cổ tức, lợi nhuận được chia","Phải thu về cổ tức, lợi nhuận được chia","Phải thu về cổ tức, lợi nhuận được chia",1.055.226.971,-,245.140.000,-,1055226971.0,,245140000.0,
Phải thu giá trị hoàn trả suất đầu tư,Phải thu giá trị hoàn trả suất đầu tư,Phải thu giá trị hoàn trả suất đầu tư,48.324.177.720,-,48.324.177.720,-,48324177720.0,,48324177720.0,
Phải thu từ chuyển nhượng vốn,Phải thu từ chuyển nhượng vốn,Phải thu từ chuyển nhượng vốn,-,-,157.500.000.000,-,,,157500000000.0,
Phải thu hợp đồng hợp tác đầu tư,Phải thu hợp đồng hợp tác đầu tư,Phải thu hợp đồng hợp tác đầu tư,165.770.000.000,-,-,-,165770000000.0,,,
Phải thu khác,Phải thu khác,Phải thu khác,65.130.325.443,(5.466.704.087),25.281.094.408,(2.113.448.468),65130325443.0,-5466704087.0,25281094408.0,-2113448468.0
Phải thu khác từ bên liên quan,Phải thu khác từ bên liên quan,Phải thu khác từ bên liên quan,376.649.257.348,-,364.178.845.621,-,376649257348.0,,364178845621.0,
"Phải thu về cổ tức, lợi nhuận được chia","Phải thu về cổ tức, lợi nhuận được chia","Phải thu về cổ tức, lợi nhuận được chia",245.548.151.242,-,250.705.622.913,-,245548151242.0,,250705622913.0,
Phải thu khác,Phải thu khác,Phải thu khác,131.101.106.106,-,113.473.222.708,-,131101106106.0,,113473222708.0,
(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),,,,
Cộng,(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2) > Cộng,Cộng,668.563.739.253,(14.141.599.875),607.345.036.377,(5.400.421.625),668563739253.0,-14141599875.0,607345036377.0,-5400421625.0
