row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,1.410.249.376.686,1.221.812.691.059,,300.0,,1410249376686.0,1221812691059.0
I.,I.,I.,Nợ ngắn hạn,310,,680.040.385.790,486.109.564.474,,310.0,,680040385790.0,486109564474.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,V.13,137.275.943.551,149.893.533.516,,311.0,,137275943551.0,149893533516.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.14.1,121.748.442.838,45.356.768.146,,312.0,,121748442838.0,45356768146.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.15.1,99.602.055.827,21.891.741.797,,313.0,,99602055827.0,21891741797.0
4.,4.,4.,Phải trả người lao động,314,,5.125.763.048,2.076.925.816,,314.0,,5125763048.0,2076925816.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,V.16,47.894.966.084,64.229.774.966,,315.0,,47894966084.0,64229774966.0
6.,6.,6.,Phải trả ngắn hạn khác,319,V.17.1,136.734.095.176,42.990.598.097,,319.0,,136734095176.0,42990598097.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,V.18.1,109.808.863.485,138.335.866.355,,320.0,,109808863485.0,138335866355.0
8.,8.,8.,"Quỹ khen thưởng, phúc lợi",322,,21.850.255.781,21.334.355.781,,322.0,,21850255781.0,21334355781.0
II.,II.,II.,Nợ dài hạn,330,,730.208.990.896,735.703.126.585,,330.0,,730208990896.0,735703126585.0
1.,1.,1.,Người mua trả tiền trước dài hạn,332,V.14.2,94.565.298.415,-,,332.0,,94565298415.0,
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,,596.268.865,967.010.108,,336.0,,596268865.0,967010108.0
3.,3.,3.,Phải trả dài hạn khác,337,V.17.2,604.483.246.339,638.876.516.477,,337.0,,604483246339.0,638876516477.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,V.18.2,30.564.177.277,95.859.600.000,,338.0,,30564177277.0,95859600000.0
D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,400,,4.395.556.932.942,4.224.414.188.809,,400.0,,4395556932942.0,4224414188809.0
I.,I.,I.,Vốn chủ sở hữu,410,V.19,4.395.556.932.942,4.224.414.188.809,,410.0,,4395556932942.0,4224414188809.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.486.319.650.000,3.486.319.650.000,,411.0,,3486319650000.0,3486319650000.0
-,-,-,Cổ phiếu phố thông có quyền biểu quyết,411a,,3.486.319.650.000,3.486.319.650.000,,,,3486319650000.0,3486319650000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,84.146.444.796,84.541.583.395,,412.0,,84146444796.0,84541583395.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,123.011.473.161,119.932.273.161,,418.0,,123011473161.0,119932273161.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,702.079.364.985,533.620.682.253,,421.0,,702079364985.0,533620682253.0
-,-,-,LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,529.925.582.253,475.455.145.553,,,,529925582253.0,475455145553.0
-,-,-,LNST chưa phân phối kỳ này,421b,,172.153.782.732,58.165.536.700,,,,172153782732.0,58165536700.0
,,,TỔNG CỘNG NGUỒN VỐN,440,,5.805.806.309.628,5.446.226.879.868,,440.0,,5805806309628.0,5446226879868.0
