row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 5.436.087.578,Số phải nộp trong năm > 17.914.689.372,Số đã nộp trong năm > 23.350.776.950,Số cuối năm > -,numeric__Số đầu năm > 5.436.087.578,numeric__Số phải nộp trong năm > 17.914.689.372,numeric__Số đã nộp trong năm > 23.350.776.950,numeric__Số cuối năm > -
Thuế thu nhập doanh nghiệp (i),Thuế thu nhập doanh nghiệp (i),Thuế thu nhập doanh nghiệp (i),16.205.119.044,98.955.828.721,16.205.119.044,98.955.828.721,16205119044.0,98955828721.0,16205119044.0,98955828721.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,250.535.175,3.817.845.545,3.422.153.614,646.227.106,250535175.0,3817845545.0,3422153614.0,646227106.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,897.537.712,897.537.712,-,,897537712.0,897537712.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,3.000.000,3.000.000,-,,3000000.0,3000000.0,
Cộng,Cộng,Cộng,21.891.741.797,121.588.901.350,43.878.587.320,99.602.055.827,21891741797.0,121588901350.0,43878587320.0,99602055827.0
