row_label_raw,row_label_full,"11. Tăng, giảm tài sản cố định hữu hình","11. Tăng, giảm tài sản cố định hữu hình_1","11. Tăng, giảm tài sản cố định hữu hình_2","11. Tăng, giảm tài sản cố định hữu hình_3","11. Tăng, giảm tài sản cố định hữu hình_4","11. Tăng, giảm tài sản cố định hữu hình_5","11. Tăng, giảm tài sản cố định hữu hình_6","numeric__11. Tăng, giảm tài sản cố định hữu hình_1","numeric__11. Tăng, giảm tài sản cố định hữu hình_2","numeric__11. Tăng, giảm tài sản cố định hữu hình_3","numeric__11. Tăng, giảm tài sản cố định hữu hình_4","numeric__11. Tăng, giảm tài sản cố định hữu hình_5","numeric__11. Tăng, giảm tài sản cố định hữu hình_6"
,,,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải truyền dẫn,"Thiết bị,dụng cụ quản lý",TSCDhữu hình khác,Cộng,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,15.546.155.013,1.437.176.091,12.089.209.300,2.771.722.265,-,31.844.262.669,15546155013.0,1437176091.0,12089209300.0,2771722265.0,,31844262669.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,-,-,-,226.131.930,226.131.930,,,,,226131930.0,226131930.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,12.254.343.324,-,-,168.738.220.454,180.992.563.778,,12254343324.0,,,168738220454.0,180992563778.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(4.219.000.000),-,-,(4.219.000.000),,,-4219000000.0,,,-4219000000.0
Chuyển đổi mục đích sử dụng (*),NGUYÊN GIÁ > Chuyển đổi mục đích sử dụng (*),Chuyển đổi mục đích sử dụng (*),(13.689.786.863),-,-,-,-,(13.689.786.863),-13689786863.0,,,,,-13689786863.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,(288.120.332),-,(1.993.246.340),-,(2.281.366.672),,-288120332.0,,-1993246340.0,,-2281366672.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,1.856.368.150,13.403.399.083,7.870.209.300,778.475.925,168.964.352.384,192.872.804.842,1856368150.0,13403399083.0,7870209300.0,778475925.0,168964352384.0,192872804842.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,8.427.140.475,1.437.176.091,9.383.200.300,2.769.155.251,-,22.016.672.117,8427140475.0,1437176091.0,9383200300.0,2769155251.0,,22016672117.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,273.808.254,653.222.389,334.764.000,2.567.014,7.664.211.087,8.928.572.744,273808254.0,653222389.0,334764000.0,2567014.0,7664211087.0,8928572744.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,623.271.706,-,-,-,623.271.706,,623271706.0,,,,623271706.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(4.219.000.000),-,-,(4.219.000.000),,,-4219000000.0,,,-4219000000.0
Chuyển đổi mục đích sử dụng (*),GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển đổi mục đích sử dụng (*),Chuyển đổi mục đích sử dụng (*),(6.844.580.579),-,-,-,-,(6.844.580.579),-6844580579.0,,,,,-6844580579.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,-,(288.120.332),,(1.993.246.340),,(2.281.366.672),,-288120332.0,,-1993246340.0,,-2281366672.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,1.856.368.150,2.425.549.854,5.498.964.300,778.475.925,7.664.211.087,18.223.569.316,1856368150.0,2425549854.0,5498964300.0,778475925.0,7664211087.0,18223569316.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,7.119.014.538,-,2.706.009.000,2.567.014,-,9.827.590.552,7119014538.0,,2706009000.0,2567014.0,,9827590552.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,-,10.977.849.229,2.371.245.000,-,161.300.141.297,174.649.235.526,,10977849229.0,2371245000.0,,161300141297.0,174649235526.0
