row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty cổ phần Tasco Nam Thái,Công ty cổ phần Tasco Nam Thái,Công ty cổ phần Tasco Nam Thái,Công ty con,
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty con,
Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,Công ty con,
Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,Công ty con,
Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,Công ty con,
Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty con,
Công ty cổ phần VETC,Công ty cổ phần VETC,Công ty cổ phần VETC,Công ty con,
Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,Công ty con,
Công ty TNHH Tasco Land,Công ty TNHH Tasco Land,Công ty TNHH Tasco Land,Công ty con,
Công ty TNHH Bảo hiểm Tasco,Công ty TNHH Bảo hiểm Tasco,Công ty TNHH Bảo hiểm Tasco,Công ty con từ ngày 07/10/2022,
Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,"Công ty con đến ngày 15/04/2022, công ty liên kết đến ngày 22/12/2022",
Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty liên kết,
Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,Công ty liên kết đến ngày 05/07/2022,
Công ty Cổ phần bệnh viện mất Hà Nội cơ sở 2,Công ty Cổ phần bệnh viện mất Hà Nội cơ sở 2,Công ty Cổ phần bệnh viện mất Hà Nội cơ sở 2,Công ty con gián tiếp đến ngày 15/04/2022,
Công ty TNHH NVT Holdings,Công ty TNHH NVT Holdings,Công ty TNHH NVT Holdings,Công ty liên kết gián tiếp từ ngày 28/12/2022,
Công ty cổ phần Du lịch Hồng Hải,Công ty cổ phần Du lịch Hồng Hải,Công ty cổ phần Du lịch Hồng Hải,Đơn vị có liên quan của thành viên HĐQT,
Công ty cổ phần phát triển Du lịch Tân An,Công ty cổ phần phát triển Du lịch Tân An,Công ty cổ phần phát triển Du lịch Tân An,Đơn vị có liên quan của thành viên HĐQT,
Ông Phạm Quang Dũng,Ông Phạm Quang Dũng,Ông Phạm Quang Dũng,Cổ đông lớn,
Ông Vũ Đình Độ,Ông Vũ Đình Độ,Ông Vũ Đình Độ,Chủ tịch HĐQT (Bổ nhiệm ngày 29/04/2022),
Ông Hồ Việt Hà,Ông Hồ Việt Hà,Ông Hồ Việt Hà,Phó Chủ tịch HĐQT kiểm Tổng Giám đốc (Bổ nhiệm ngày 29/04/2022),
Ông Nguyễn Danh Hiếu,Ông Nguyễn Danh Hiếu,Ông Nguyễn Danh Hiếu,Phó Chủ tịch HĐQT (Bổ nhiệm ngày 29/04/2022),
Ông Nguyễn Thế Minh,Ông Nguyễn Thế Minh,Ông Nguyễn Thế Minh,Phó Chủ tịch HĐQT kiểm Phó Tổng Giám đốc (Bổ nhiệm ngày 29/04/2022),
Ông Trần Đức Huy,Ông Trần Đức Huy,Ông Trần Đức Huy,Phó Chủ tịch HĐQT (Thành viên độc lập HĐQT) (Bổ nhiệm ngày 29/04/2022),
Ông Nguyễn Huy Tuấn,Ông Nguyễn Huy Tuấn,Ông Nguyễn Huy Tuấn,Phó Chủ tịch HĐQT kiểm Tổng Giám đốc (Miễn nhiệm ngày 29/04/2022),
Bà Phan Thị Thu Thảo,Bà Phan Thị Thu Thảo,Bà Phan Thị Thu Thảo,Thành viên HĐQT kiểm Phó Tổng Giám đốc (Bổ nhiệm ngày 29/04/2022),
Ông Đình Đức Tùng,Ông Đình Đức Tùng,Ông Đình Đức Tùng,Thành viên độc lập HĐQT (Bổ nhiệm ngày 29/04/2022),
Ông Nguyễn Viết Tân,Ông Nguyễn Viết Tân,Ông Nguyễn Viết Tân,Thành viên HĐQT (Miễn nhiệm ngày 29/04/2022),
Bà Trần Hằng Thu,Bà Trần Hằng Thu,Bà Trần Hằng Thu,Thành viên HĐQT (Miễn nhiệm ngày 29/04/2022),
Bà Phạm Thị Chí,Bà Phạm Thị Chí,Bà Phạm Thị Chí,Thành viên HĐQT (Miễn nhiệm ngày 29/04/2022),
Bà Trần Hải Yến,Bà Trần Hải Yến,Bà Trần Hải Yến,Thành viên HĐQT (Miễn nhiệm ngày 29/04/2022),
Ông Phạm Đức Minh,Ông Phạm Đức Minh,Ông Phạm Đức Minh,Phó Tổng Giám đốc (Bổ nhiệm ngày 01/01/2022),
Bà Trần Minh Trang,Bà Trần Minh Trang,Bà Trần Minh Trang,Trường ban Kiểm soát,
Bà Nguyễn Thị Hải Yến,Bà Nguyễn Thị Hải Yến,Bà Nguyễn Thị Hải Yến,Thành viên BKS,
Bà Hoàng Thị Soa,Bà Hoàng Thị Soa,Bà Hoàng Thị Soa,Thành viên BKS,
Bà Phạm Thị Nhải,Bà Phạm Thị Nhải,Bà Phạm Thị Nhải,Người liên quan của Thành viên HĐQT đến ngày 29/04/2022,
