row_label_raw,row_label_full,col_0,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc_1,Giá trị hợp lý_1,Dự phòng_1,numeric__Giá gốc,numeric__Giá trị hợp lý,numeric__Dự phòng,numeric__Giá gốc_1,numeric__Giá trị hợp lý_1,numeric__Dự phòng_1
Trái phiếu,Trái phiếu,Trái phiếu,309.320.000.000,(*),-,-,-,-,309320000000.0,,,,,
Trái phiếu doanh nghiệp 1 (1.000.000 TP) (i),Trái phiếu doanh nghiệp 1 (1.000.000 TP) (i),Trái phiếu doanh nghiệp 1 (1.000.000 TP) (i),105.933.000.000,,-,-,-,-,105933000000.0,,,,,
Trái phiếu doanh nghiệp 2 (1.000.000 TP) (ii),Trái phiếu doanh nghiệp 2 (1.000.000 TP) (ii),Trái phiếu doanh nghiệp 2 (1.000.000 TP) (ii),102.269.000.000,,-,-,-,-,102269000000.0,,,,,
Trái phiếu doanh nghiệp 3 (1.000.000 TP),Trái phiếu doanh nghiệp 3 (1.000.000 TP),Trái phiếu doanh nghiệp 3 (1.000.000 TP),101.118.000.000,,-,-,-,-,101118000000.0,,,,,
Cộng,Cộng,Cộng,309.320.000.000,,-,-,-,-,309320000000.0,,,,,
