row_label_raw,row_label_full,2.3 Đầu tư góp vốn vào đơn vị khác,2.3 Đầu tư góp vốn vào đơn vị khác > Số cuối năm > Giá gốc,2.3 Đầu tư góp vốn vào đơn vị khác > Số cuối năm > Giá trị hợp lý,2.3 Đầu tư góp vốn vào đơn vị khác > Số cuối năm > Dự phòng,2.3 Đầu tư góp vốn vào đơn vị khác > Số đầu năm > Giá gốc,2.3 Đầu tư góp vốn vào đơn vị khác > Số đầu năm > Giá trị hợp lý,2.3 Đầu tư góp vốn vào đơn vị khác > Số đầu năm > Dự phòng,numeric__2.3 Đầu tư góp vốn vào đơn vị khác > Số cuối năm > Giá gốc,numeric__2.3 Đầu tư góp vốn vào đơn vị khác > Số cuối năm > Giá trị hợp lý,numeric__2.3 Đầu tư góp vốn vào đơn vị khác > Số cuối năm > Dự phòng,numeric__2.3 Đầu tư góp vốn vào đơn vị khác > Số đầu năm > Giá gốc,numeric__2.3 Đầu tư góp vốn vào đơn vị khác > Số đầu năm > Giá trị hợp lý,numeric__2.3 Đầu tư góp vốn vào đơn vị khác > Số đầu năm > Dự phòng
I. Đầu tư vào Công ty con,I. Đầu tư vào Công ty con,I. Đầu tư vào Công ty con,2.468.785.733.953,(*),(281.660.453.842),2.088.221.316.160,(*),(279.793.000.000),2468785733953.0,,-281660453842.0,2088221316160.0,,-279793000000.0
Công ty cổ phần Tasco Nam Thái,Công ty cổ phần Tasco Nam Thái,Công ty cổ phần Tasco Nam Thái,299.900.000.000,,-,299.900.000.000,,-,299900000000.0,,,299900000000.0,,
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,65.180.000.000,,-,65.180.000.000,,-,65180000000.0,,,65180000000.0,,
Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,2.418.316.160,,(1.867.453.842),2.418.316.160,,-,2418316160.0,,-1867453842.0,2418316160.0,,
Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,328.130.000.000,,-,328.130.000.000,,-,328130000000.0,,,328130000000.0,,
Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,1.000.000.000,,-,1.000.000.000,,-,1000000000.0,,,1000000000.0,,
Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,395.600.000.000,,-,395.600.000.000,,-,395600000000.0,,,395600000000.0,,
Công ty cổ phần VETC,Công ty cổ phần VETC,Công ty cổ phần VETC,741.900.000.000,,(247.300.000.000),604.900.000.000,,(247.300.000.000),741900000000.0,,-247300000000.0,604900000000.0,,-247300000000.0
Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,32.493.000.000,,(32.493.000.000),32.493.000.000,,(32.493.000.000),32493000000.0,,-32493000000.0,32493000000.0,,-32493000000.0
Công ty TNHH T'Hospital (i),Công ty TNHH T'Hospital (i),Công ty TNHH T'Hospital (i),-,,-,358.600.000.000,,-,,,,358600000000.0,,
Công ty TNHH Tasco Land (ii),Công ty TNHH Tasco Land (ii),Công ty TNHH Tasco Land (ii),200.000.000.000,,-,-,,-,200000000000.0,,,,,
Công ty TNHH Bảo hiểm Tasco (iii),Công ty TNHH Bảo hiểm Tasco (iii),Công ty TNHH Bảo hiểm Tasco (iii),402.164.417.793,,,-,,,402164417793.0,,,,,
"II. Đầu tư vào Công ty liên doanh, liên kết","II. Đầu tư vào Công ty liên doanh, liên kết","II. Đầu tư vào Công ty liên doanh, liên kết",69.000.000.000,(*),-,309.567.505.000,(*),-,69000000000.0,,,309567505000.0,,
Công ty cổ phần Bất động sản Quảng Phú (iv),Công ty cổ phần Bất động sản Quảng Phú (iv),Công ty cổ phần Bất động sản Quảng Phú (iv),-,,-,1.000.000.000,,-,,,,1000000000.0,,
Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,69.000.000.000,,-,69.000.000.000,,-,69000000000.0,,,69000000000.0,,
Tổng Công ty Thăng Long - CTCP (v),Tổng Công ty Thăng Long - CTCP (v),Tổng Công ty Thăng Long - CTCP (v),-,,-,239.567.505.000,,-,,,,239567505000.0,,
III. Đầu tư góp vốn vào đơn vị khác,III. Đầu tư góp vốn vào đơn vị khác,III. Đầu tư góp vốn vào đơn vị khác,23.800.000.000,(*),-,22.800.000.000,(*),-,23800000000.0,,,22800000000.0,,
Công ty cổ phần Cotabig,Công ty cổ phần Cotabig,Công ty cổ phần Cotabig,300.000.000,,-,300.000.000,,-,300000000.0,,,300000000.0,,
Công ty cổ phần Bất động sản Quảng Phú (iii),Công ty cổ phần Bất động sản Quảng Phú (iii),Công ty cổ phần Bất động sản Quảng Phú (iii),1.000.000.000,,-,-,,-,1000000000.0,,,,,
Công ty cổ phần Đầu tư phát triển nhà và đồ thị HUD 8,Công ty cổ phần Đầu tư phát triển nhà và đồ thị HUD 8,Công ty cổ phần Đầu tư phát triển nhà và đồ thị HUD 8,4.500.000.000,,-,4.500.000.000,,-,4500000000.0,,,4500000000.0,,
Công ty TNHH Môi trường Tasco Củ Chi,Công ty TNHH Môi trường Tasco Củ Chi,Công ty TNHH Môi trường Tasco Củ Chi,18.000.000.000,,-,18.000.000.000,,-,18000000000.0,,,18000000000.0,,
Cộng,Cộng,Cộng,2.561.585.733.953,,(281.660.453.842),2.420.588.821.160,,(279.793.000.000),2561585733953.0,,-281660453842.0,2420588821160.0,,-279793000000.0
