row_label_raw,row_label_full,- Bà Trần Minh Trang,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
- Bà Nguyễn Thị Hải Yến,- Bà Nguyễn Thị Hải Yến,- Bà Nguyễn Thị Hải Yến,Thành viên,
- Bà Hoàng Thị Soa,- Bà Hoàng Thị Soa,- Bà Hoàng Thị Soa,Thành viên,
