row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
A -,A -,A -,TÀI SẢN NGẮN HẠN,100,,2.105.111.255.555,1.917.395.978.406,,100.0,,2105111255555.0,1917395978406.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,63.714.651.972,381.325.460.207,,110.0,,63714651972.0,381325460207.0
1.,1.,1.,Tiền,111,,53.714.651.972,160.325.460.207,,111.0,,53714651972.0,160325460207.0
2.,2.,2.,Các khoản tương đương tiền,112,,10.000.000.000,221.000.000.000,,112.0,,10000000000.0,221000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,309.530.000.000,73.389.607.184,,120.0,,309530000000.0,73389607184.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2.1,309.320.000.000,-,,121.0,,309320000000.0,
2.,2.,2.,Đầu tư nằm giữ đến ngày đáo hạn,123,V.2.2,210.000.000,73.389.607.184,,123.0,,210000000.0,73389607184.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.699.151.580.233,1.438.991.785.164,,130.0,,1699151580233.0,1438991785164.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,314.445.934.444,326.610.501.559,,131.0,,314445934444.0,326610501559.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,88.293.426.041,30.598.750.423,,132.0,,88293426041.0,30598750423.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,V.5,662.997.936.560,488.707.858.861,,135.0,,662997936560.0,488707858861.0
4.,4.,4.,Phải thu ngắn hạn khác,136,V.6.1,668.563.739.253,607.345.036.377,,136.0,,668563739253.0,607345036377.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(35.149.456.065),(14.270.362.056),,137.0,,-35149456065.0,-14270362056.0
IV.,IV.,IV.,Hàng tồn kho,140,V.8,29.679.029.542,23.586.452.857,,140.0,,29679029542.0,23586452857.0
1.,1.,1.,Hàng tồn kho,141,,29.679.029.542,23.586.452.857,,141.0,,29679029542.0,23586452857.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,3.035.993.808,102.672.994,,150.0,,3035993808.0,102672994.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9.1,2.977.532.135,93.946.894,,151.0,,2977532135.0,93946894.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,49.168.569,-,,152.0,,49168569.0,
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.15.2,9.293.104,8.726.100,,153.0,,9293104.0,8726100.0
B -,B -,B -,TÀI SẢN DÀI HẠN,200,,3.700.695.054.073,3.528.830.901.462,,200.0,,3700695054073.0,3528830901462.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,324.279.578.977,380.253.106.319,,210.0,,324279578977.0,380253106319.0
1.,1.,1.,Phải thu dài hạn khác,216,V.6.2,324.279.578.977,380.253.106.319,,216.0,,324279578977.0,380253106319.0
II.,II.,II.,Tài sản cố định,220,,174.649.235.526,9.827.590.552,,220.0,,174649235526.0,9827590552.0
1.,1.,1.,Tài sản cố định hữu hình,221,V.11,174.649.235.526,9.827.590.552,,221.0,,174649235526.0,9827590552.0
,,,Nguyên giá,222,,192.872.804.842,31.844.262.669,,222.0,,192872804842.0,31844262669.0
,,,Giá trị hao mòn lũy kế,223,,(18.223.569.316),(22.016.672.117),,223.0,,-18223569316.0,-22016672117.0
2.,2.,2.,Tài sản cố định vô hình,227,V.10,-,-,,227.0,,,
,,,Nguyên giá,228,,2.335.523.000,2.925.326.637,,228.0,,2335523000.0,2925326637.0
,,,Giá trị hao mòn lũy kế,229,,(2.335.523.000),(2.925.326.637),,229.0,,-2335523000.0,-2925326637.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,897.970.673.562,997.063.360.533,,240.0,,897970673562.0,997063360533.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,V.12.1,610.782.218.159,691.597.917.895,,241.0,,610782218159.0,691597917895.0
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,V.12.2,287.188.455.403,305.465.442.638,,242.0,,287188455403.0,305465442638.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,V.2.3,2.279.925.280.111,2.140.795.821.160,,250.0,,2279925280111.0,2140795821160.0
1.,1.,1.,Đầu tư vào công ty con,251,,2.468.785.733.953,2.088.221.316.160,,251.0,,2468785733953.0,2088221316160.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,69.000.000.000,309.567.505.000,,252.0,,69000000000.0,309567505000.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,23.800.000.000,22.800.000.000,,253.0,,23800000000.0,22800000000.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(281.660.453.842),(279.793.000.000),,254.0,,-281660453842.0,-279793000000.0
V.,V.,V.,Tài sản dài hạn khác,260,,23.870.285.897,891.022.898,,260.0,,23870285897.0,891022898.0
1.,1.,1.,Chi phí trả trước dài hạn,261,V.9.2,23.870.285.897,891.022.898,,261.0,,23870285897.0,891022898.0
,,,TỔNG CỘNG TÀI SẢN,270,,5.805.806.309.628,5.446.226.879.868,,270.0,,5805806309628.0,5446226879868.0
