row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Cho vay,Cho vay,Cho vay,Cho vay,Cho vay,,
Công ty TNHH T'Hospital (*),Cho vay > Công ty TNHH T'Hospital (*),Công ty TNHH T'Hospital (*),57.574.073.506,-,57574073506.0,
Công ty TNHH thu phí tự động VETC,Cho vay > Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,73.506.077.699,94.115.858.861,73506077699.0,94115858861.0
Công ty TNHH Tasco Land,Cho vay > Công ty TNHH Tasco Land,Công ty TNHH Tasco Land,517.100.000.000,-,517100000000.0,
Công ty TNHH BOT Hùng Thắng,Cho vay > Công ty TNHH BOT Hùng Thắng,Công ty TNHH BOT Hùng Thắng,-,90.000.000,,90000000.0
Cộng,Cho vay > Cộng,Cộng,648.180.151.205,94.205.858.861,648180151205.0,94205858861.0
"Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",,
Công ty TNHH MTV Tasco Quảng Bình,"Cổ tức, lợi nhuận được chia > Công ty TNHH MTV Tasco Quảng Bình",Công ty TNHH MTV Tasco Quảng Bình,-,34.300.000.000,,34300000000.0
Công ty TNHH MTV Tasco Hải Phòng,"Cổ tức, lợi nhuận được chia > Công ty TNHH MTV Tasco Hải Phòng",Công ty TNHH MTV Tasco Hải Phòng,-,36.165.921.302,,36165921302.0
Tổng Công ty Thắng Long - CTCP (*),"Cổ tức, lợi nhuận được chia > Tổng Công ty Thắng Long - CTCP (*)",Tổng Công ty Thắng Long - CTCP (*),-,4.854.502.500,,4854502500.0
Cộng,"Cổ tức, lợi nhuận được chia > Cộng",Cộng,-,75.320.423.802,,75320423802.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,,
Công ty TNHH thu phí tự động VETC,Lãi cho vay > Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,33.654.512.481,32.571.668.201,33654512481.0,32571668201.0
Công ty TNHH T'Hospital (*),Lãi cho vay > Công ty TNHH T'Hospital (*),Công ty TNHH T'Hospital (*),674.869.601,-,674869601.0,
Công ty TNHH BOT Hùng Thắng Phú Thọ,Lãi cho vay > Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,602.700.001,1.191.263.836,602700001.0,1191263836.0
Công ty TNHH Tasco Land,Lãi cho vay > Công ty TNHH Tasco Land,Công ty TNHH Tasco Land,1.319.068.492,-,1319068492.0,
Công ty cổ phần bệnh viện mất Hà Nội cơ sở 2 (*),Lãi cho vay > Công ty cổ phần bệnh viện mất Hà Nội cơ sở 2 (*),Công ty cổ phần bệnh viện mất Hà Nội cơ sở 2 (*),1.392.785.789,3.029.212.218,1392785789.0,3029212218.0
Cộng,Lãi cho vay > Cộng,Cộng,37.643.936.364,36.792.144.255,37643936364.0,36792144255.0
Vay,Vay,Vay,Vay,Vay,,
Ông Phạm Quang Dũng,Vay > Ông Phạm Quang Dũng,Ông Phạm Quang Dũng,15.850.000.000,40.846.170.310,15850000000.0,40846170310.0
Cộng,Vay > Cộng,Cộng,15.850.000.000,40.846.170.310,15850000000.0,40846170310.0
Thanh toán gốc vay,Thanh toán gốc vay,Thanh toán gốc vay,Thanh toán gốc vay,Thanh toán gốc vay,,
Ông Phạm Quang Dũng,Thanh toán gốc vay > Ông Phạm Quang Dũng,Ông Phạm Quang Dũng,117.581.276.519,20.776.422.046,117581276519.0,20776422046.0
Cộng,Thanh toán gốc vay > Cộng,Cộng,117.581.276.519,20.776.422.046,117581276519.0,20776422046.0
Lãi vay,Lãi vay,Lãi vay,Lãi vay,Lãi vay,,
Công ty TNHH Tasco Hải Phòng,Lãi vay > Công ty TNHH Tasco Hải Phòng,Công ty TNHH Tasco Hải Phòng,165.252.441,165.252.441,165252441.0,165252441.0
Ông Phạm Quang Dũng,Lãi vay > Ông Phạm Quang Dũng,Ông Phạm Quang Dũng,4.692.931.507,8.371.643.836,4692931507.0,8371643836.0
Cộng,Lãi vay > Cộng,Cộng,4.858.183.948,8.536.896.277,4858183948.0,8536896277.0
