row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Phải trả người bán là bên thứ ba,Phải trả người bán là bên thứ ba,Phải trả người bán là bên thứ ba,132.206.534.456,132.206.534.456,75.522.114.174,75.522.114.174,132206534456.0,132206534456.0,75522114174.0,75522114174.0
Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,84.254.116.786,84.254.116.786,46.054.317.084,46.054.317.084,84254116786.0,84254116786.0,46054317084.0,46054317084.0
Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,42.447.620.405,42.447.620.405,27.977.011.612,27.977.011.612,42447620405.0,42447620405.0,27977011612.0,27977011612.0
Công ty cổ phần xây dựng giao thông Yên Bái,Công ty cổ phần xây dựng giao thông Yên Bái,Công ty cổ phần xây dựng giao thông Yên Bái,13.930.172.255,13.930.172.255,4.207.092.600,4.207.092.600,13930172255.0,13930172255.0,4207092600.0,4207092600.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,28.517.448.150,28.517.448.150,23.769.919.012,23.769.919.012,28517448150.0,28517448150.0,23769919012.0,23769919012.0
Phải trả hoạt động khác,Phải trả hoạt động khác,Phải trả hoạt động khác,5.504.797.265,5.504.797.265,1.490.785.478,1.490.785.478,5504797265.0,5504797265.0,1490785478.0,1490785478.0
Phải trả người bán là bên liên quan,Phải trả người bán là bên liên quan,Phải trả người bán là bên liên quan,5.069.409.095,5.069.409.095,74.371.419.342,74.371.419.342,5069409095.0,5069409095.0,74371419342.0,74371419342.0
Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,-,-,13.095.157.008,13.095.157.008,,,13095157008.0,13095157008.0
Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,-,-,59.523.211.586,59.523.211.586,,,59523211586.0,59523211586.0
Phải trả hoạt động khác,Phải trả hoạt động khác,Phải trả hoạt động khác,5.069.409.095,5.069.409.095,1.753.050.748,1.753.050.748,5069409095.0,5069409095.0,1753050748.0,1753050748.0
(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),,,,
Cộng,(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2) > Cộng,Cộng,137.275.943.551,137.275.943.551,149.893.533.516,149.893.533.516,137275943551.0,137275943551.0,149893533516.0,149893533516.0
