row_label_raw,row_label_full,- Ông Hồ Việt Hà > - Ông Nguyễn Huy Tuân,Tổng Giám đốc,Bổ nhiệm ngày 29/04/2022 > Miễn nhiệm ngày 29/04/2022,numeric__Tổng Giám đốc,numeric__Bổ nhiệm ngày 29/04/2022 > Miễn nhiệm ngày 29/04/2022
- Ông Nguyễn Thế Minh,- Ông Nguyễn Thế Minh,- Ông Nguyễn Thế Minh,Phó Tổng Giám đốc,,,
- Bà Phan Thị Thu Thảo,- Bà Phan Thị Thu Thảo,- Bà Phan Thị Thu Thảo,Phó Tổng Giám đốc,,,
- Ông Phạm Đức Minh,- Ông Phạm Đức Minh,- Ông Phạm Đức Minh,Phó Tổng Giám đốc,Bổ nhiệm ngày 01/01/2022,,
