row_label_raw,row_label_full,Mối quan hệ > Công ty Cổ phần Café De Nam,Bản chất giao dịch > Bán hàng hóa > Mua hàng hóa,Giá trị giao dịch > 2022VND > 34.642.074 > 3.591.812.064,Giá trị giao dịch > 2021VND > 80.713.901 > 2.425.233.972,Phải thu/(Phải trả) tại ngày > 31/12/2022VND > -,Phải thu/(Phải trả) tại ngày > 1/1/2022VND > - > (724.170.586),numeric__Bản chất giao dịch > Bán hàng hóa > Mua hàng hóa,numeric__Giá trị giao dịch > 2022VND > 34.642.074 > 3.591.812.064,numeric__Giá trị giao dịch > 2021VND > 80.713.901 > 2.425.233.972,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2022VND > -,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2022VND > - > (724.170.586)
Công ty Cổ phần Nước khoáng Vĩnh Hảo,Công ty Cổ phần Nước khoáng Vĩnh Hảo,Công ty Cổ phần Nước khoáng Vĩnh Hảo,Bán hàng hóa,118.967.091,284.833.420,-,-,,118967091.0,284833420.0,,
Công ty Cổ phần Nước khoáng Vĩnh Hảo,Công ty Cổ phần Nước khoáng Vĩnh Hảo,Công ty Cổ phần Nước khoáng Vĩnh Hảo,Mua hàng hóa và dịch vụ,493.369.145.751,412.593.017.051,(25.649.750.928),(14.374.455),,493369145751.0,412593017051.0,-25649750928.0,-14374455.0
Công ty Cổ phần Nước khoáng Quảng Ninh,Công ty Cổ phần Nước khoáng Quảng Ninh,Công ty Cổ phần Nước khoáng Quảng Ninh,Bán hàng hóa,87.123.215,333.162.450,-,-,,87123215.0,333162450.0,,
Công ty Cổ phần Nước khoáng Quảng Ninh,Công ty Cổ phần Nước khoáng Quảng Ninh,Công ty Cổ phần Nước khoáng Quảng Ninh,Mua hàng hóa và dịch vụ,258.746.205.469,215.383.895.749,(54.825.739.012),(28.043.819.863),,258746205469.0,215383895749.0,-54825739012.0,-28043819863.0
Masan Consumer (Thailand) Limited,Masan Consumer (Thailand) Limited,Masan Consumer (Thailand) Limited,Bán hàng hóa,56.784.491.291,68.807.880.317,-,9.616.460.290,,56784491291.0,68807880317.0,,9616460290.0
Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Bán hàng hóa,68.153.079.512,-,-,-,,68153079512.0,,,
Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Mua hàng hóa và dịch vụ,236.467.719.634,167.246.939.637,(59.286.912.372),(17.823.678.600),,236467719634.0,167246939637.0,-59286912372.0,-17823678600.0
Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Mua hộ nguyên vật liệu,63.983.041.871,-,-,-,,63983041871.0,,,
Công ty TNHH Hi-Fresh,Công ty TNHH Hi-Fresh,Công ty TNHH Hi-Fresh,Bán hàng hóa,81.501.177,86.544.267,715.515,9.725.211,,81501177.0,86544267.0,715515.0,9725211.0
Công ty TNHH Hi-Fresh,Công ty TNHH Hi-Fresh,Công ty TNHH Hi-Fresh,Bán tài sản cổ định,-,2.624.971,-,-,,,2624971.0,,
Công ty TNHH Giặt ủi Chuyên Nghiệp Joins Pro,Công ty TNHH Giặt ủi Chuyên Nghiệp Joins Pro,Công ty TNHH Giặt ủi Chuyên Nghiệp Joins Pro,Bán hàng hóa,14.585.181,-,16.043.699,-,,14585181.0,,16043699.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,,,
Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Các bên liên quan khác > Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Bán hàng hóa,1.853.017.123,-,-,-,,1853017123.0,,,
Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Các bên liên quan khác > Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Mua hàng hóa,391.034.495.043,-,(130.267.562.017),-,,391034495043.0,,-130267562017.0,
Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Các bên liên quan khác > Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Thu hồi các khoản cho vay bằng tiền,291.000.000.000,-,-,-,,291000000000.0,,,
Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Các bên liên quan khác > Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Thu nhập lãi cho vay,2.667.493.150,-,-,-,,2667493150.0,,,
