row_label_raw,row_label_full,col_0,Phần mềmmáy tínhVND,Nhăn hiệuVND,TổngVND,numeric__Phần mềmmáy tínhVND,numeric__Nhăn hiệuVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,289.078.074.497,636.363.636,289.714.438.133,289078074497.0,636363636.0,289714438133.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,144.900.000,-,144.900.000,144900000.0,,144900000.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,847.745.163,-,847.745.163,847745163.0,,847745163.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,290.070.719.660,636.363.636,290.707.083.296,290070719660.0,636363636.0,290707083296.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,224.877.539.665,636.363.636,225.513.903.301,224877539665.0,636363636.0,225513903301.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,35.614.002.860,-,35.614.002.860,35614002860.0,,35614002860.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,260.491.542.525,636.363.636,261.127.906.161,260491542525.0,636363636.0,261127906161.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,64.200.534.832,-,64.200.534.832,64200534832.0,,64200534832.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,29.579.177.135,-,29.579.177.135,29579177135.0,,29579177135.0
