row_label_raw,row_label_full,col_0,Nâng cấptài sản thuêVND,Thiết bịvăn phòngVND,Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,TổngVND,numeric__Nâng cấptài sản thuêVND,numeric__Thiết bịvăn phòngVND,numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,52.322.721.945,26.295.609.567,4.012.032.589,10.603.833.592,93.234.197.693,52322721945.0,26295609567.0,4012032589.0,10603833592.0,93234197693.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,41.245.000,456.816.809,-,498.061.809,,41245000.0,456816809.0,,498061809.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,2.822.121.074,216.827.273,6.033.152.765,9.072.101.112,,2822121074.0,216827273.0,6033152765.0,9072101112.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(464.230.756),-,(1.355.142.213),(1.819.372.969),,-464230756.0,,-1355142213.0,-1819372969.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,52.322.721.945,28.694.744.885,4.685.676.671,15.281.844.144,100.984.987.645,52322721945.0,28694744885.0,4685676671.0,15281844144.0,100984987645.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,52.322.721.945,19.562.109.141,3.156.844.278,5.841.974.250,80.883.649.614,52322721945.0,19562109141.0,3156844278.0,5841974250.0,80883649614.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,3.022.967.732,300.590.958,1.248.520.165,4.572.078.855,,3022967732.0,300590958.0,1248520165.0,4572078855.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(464.230.756),-,(1.355.142.213),(1.819.372.969),,-464230756.0,,-1355142213.0,-1819372969.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,52.322.721.945,22.120.846.117,3.457.435.236,5.735.352.202,83.636.355.500,52322721945.0,22120846117.0,3457435236.0,5735352202.0,83636355500.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,6.733.500.426,855.188.311,4.761.859.342,12.350.548.079,,6733500426.0,855188311.0,4761859342.0,12350548079.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,6.573.898.768,1.228.241.435,9.546.491.942,17.348.632.145,,6573898768.0,1228241435.0,9546491942.0,17348632145.0
