row_label_raw,row_label_full,Mối quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2022 VND,Giá trị giao dịch > 2021 VND,Phải thu/(Phải trả) tại ngày > 31/12/2022 VND,Phải thu/(Phải trả) tại ngày > 1/1/2022 VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2022 VND,numeric__Giá trị giao dịch > 2021 VND,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2022 VND,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2022 VND
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Bán hàng hóa,1.111.876.205,26.281.819,172.941.899,28.910.000,,1111876205.0,26281819.0,172941899.0,28910000.0
Phúc Long Heritage,Phúc Long Heritage,Phúc Long Heritage,Mua hàng hóa,7.986.469.535,521.126.917,(787.784.400),-,,7986469535.0,521126917.0,-787784400.0,
Phúc Long Heritage,Phúc Long Heritage,Phúc Long Heritage,Phí hỗ trợ quản lý,1.889.883.833,-,2.041.074.540,-,,1889883833.0,,2041074540.0,
Công ty Cổ phần Mobicast,Công ty Cổ phần Mobicast,Công ty Cổ phần Mobicast,Bán hàng hóa,9.238.570,-,9.977.656,-,,9238570.0,,9977656.0,
Công ty Cổ phần Mobicast,Công ty Cổ phần Mobicast,Công ty Cổ phần Mobicast,Mua dịch vụ,3.915.789.415,-,(132.898.031),-,,3915789415.0,,-132898031.0,
Công ty Cổ phần The Supra,Công ty Cổ phần The Supra,Công ty Cổ phần The Supra,Bán hàng hóa,126.046.020,-,13.376.167,-,,126046020.0,,13376167.0,
Công ty Cổ phần The Supra,Công ty Cổ phần The Supra,Công ty Cổ phần The Supra,Mua dịch vụ,258.418.020,-,-,-,,258418020.0,,,
Công ty Cổ phần The Supra,Công ty Cổ phần The Supra,Công ty Cổ phần The Supra,Phí hỗ trợ quản lý,747.895.144,-,807.726.756,-,,747895144.0,,807726756.0,
Công ty Cổ phần Chứng khoán,Công ty Cổ phần Chứng khoán,Công ty Cổ phần Chứng khoán,Mua chứng khoán kinh doanh,1.357.768.622.282,-,-,-,,1357768622282.0,,,
Kỹ thương (*),Kỹ thương (*),Kỹ thương (*),Bán chứng khoán kinh doanh,557.341.500.000,-,-,-,,557341500000.0,,,
Thành viên quản lý chủ chốt (**),Thành viên quản lý chủ chốt (**),Thành viên quản lý chủ chốt (**),Thù lao trả cho thành viên quản lý chủ chốt,13.170.123.992,24.263.703.783,-,-,,13170123992.0,24263703783.0,,
