row_label_raw,row_label_full,Mối quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2022VND,Giá trị giao dịch > 2021VND,Phải thu/(Phải trả) tại ngày > 31/12/2022VND,Phải thu/(Phải trả) tại ngày > 1/1/2022VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2022VND,numeric__Giá trị giao dịch > 2021VND,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2022VND,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2022VND
Công ty TNHH Một Thành viênMasan HD,Công ty TNHH Một Thành viênMasan HD,Công ty TNHH Một Thành viênMasan HD,Bán hàng hóa,101.237.611.022,111.140.642.378,-,-,,101237611022.0,111140642378.0,,
Công ty TNHH Một Thành viênMasan HD,Công ty TNHH Một Thành viênMasan HD,Công ty TNHH Một Thành viênMasan HD,Mua hàng hóa,1.981.670.061.868,2.109.614.479.377,(160.111.502.850),(129.554.375.771),,1981670061868.0,2109614479377.0,-160111502850.0,-129554375771.0
Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Bán hàng hóa,279.965.616.513,443.257.939.427,-,-,,279965616513.0,443257939427.0,,
Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Bán tài sản cố định,-,30.000.000,-,-,,,30000000.0,,
Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Mua hàng hóa và dịch vụ,5.588.209.800.975,7.274.786.787.940,(130.853.574.311),(1.387.299.783.937),,5588209800975.0,7274786787940.0,-130853574311.0,-1387299783937.0
Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,"Cho vay, bao gồm chuyển đổi số dư lãi phải thu thành nợ gốc khoản phải thu về cho vay",898.243.410.521,180.000.000.000,2.984.825.282.113,2.086.581.871.592,,898243410521.0,180000000000.0,2984825282113.0,2086581871592.0
Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Thu hồi các khoản cho vay thông qua cấn trừ với cổ tức phải trả,-,1.178.982.502.500,-,-,,,1178982502500.0,,
Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Thu hồi các khoản cho vay bằng tiền,-,18.170.000.000,-,-,,,18170000000.0,,
Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Thu nhập lãi cho vay,139.620.424.395,162.692.963.370,-,1.237.622.986.126,,139620424395.0,162692963370.0,,1237622986126.0
Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Công ty TNHH Một Thành viênCông nghiệp Masan,Phí hỗ trợ quản lý,62.941.589,-,(67.590.811),-,,62941589.0,,-67590811.0,
Công ty TNHH Một Thành viênMasan MB,Công ty TNHH Một Thành viênMasan MB,Công ty TNHH Một Thành viênMasan MB,Bán hàng hóa,242.713.830.983,264.263.224.575,-,-,,242713830983.0,264263224575.0,,
Công ty TNHH Một Thành viênMasan MB,Công ty TNHH Một Thành viênMasan MB,Công ty TNHH Một Thành viênMasan MB,Bán tài sản cố định,-,1.964.544,-,-,,,1964544.0,,
Công ty TNHH Một Thành viênMasan MB,Công ty TNHH Một Thành viênMasan MB,Công ty TNHH Một Thành viênMasan MB,Mua hàng hóa,5.259.612.198.967,5.585.505.063.208,(380.597.471.566),(1.689.549.214.657),,5259612198967.0,5585505063208.0,-380597471566.0,-1689549214657.0
Công ty TNHH Một Thành viênMasan MB,Công ty TNHH Một Thành viênMasan MB,Công ty TNHH Một Thành viênMasan MB,"Cho vay, bao gồm chuyển đổi số dư lãi phải thu thành nợ gốc khoản phải thu về cho vay",985.436.150.679,-,2.985.436.150.679,2.000.000.000.000,,985436150679.0,,2985436150679.0,2000000000000.0
Công ty TNHH Một Thành viênMasan MB,Công ty TNHH Một Thành viênMasan MB,Công ty TNHH Một Thành viênMasan MB,Thu hồi các khoản cho vay thông qua cấn trừ với cổ tức phải trả,-,1.824.000.000.000,-,-,,,1824000000000.0,,
Công ty TNHH Một Thành viênMasan MB,Công ty TNHH Một Thành viênMasan MB,Công ty TNHH Một Thành viênMasan MB,Thu nhập lãi cho vay,129.999.999.998,183.270.794.518,-,855.436.150.681,,129999999998.0,183270794518.0,,855436150681.0
