row_label_raw,row_label_full,Mối quan hệ > Công ty Cổ phần Masan JinJu và chi nhánh (Thuyết minh 5(c)(i)),Bản chất giao dịch > Bán hàng hóa > Mua hàng hóa > Cho vay > Thu nhập lãi cho vay,Giá trị giao dịch > 2022VND > 6.044.089.115 > 1.175.460.725.883 > 291.000.000.000 > 6.559.301.370,Giá trị giao dịch > 2021VND > 7.775.751.080 > 1.047.993.853.750 > -,Phải thu/(Phải trả) tại ngày > 31/12/2022VND > -,Phải thu/(Phải trả) tại ngày > 1/1/2022VND > - > (152.093.792.921) > -,numeric__Bản chất giao dịch > Bán hàng hóa > Mua hàng hóa > Cho vay > Thu nhập lãi cho vay,numeric__Giá trị giao dịch > 2022VND > 6.044.089.115 > 1.175.460.725.883 > 291.000.000.000 > 6.559.301.370,numeric__Giá trị giao dịch > 2021VND > 7.775.751.080 > 1.047.993.853.750 > -,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2022VND > -,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2022VND > - > (152.093.792.921) > -
Công ty TNHH Một Thành viên Masan HG,Công ty TNHH Một Thành viên Masan HG,Công ty TNHH Một Thành viên Masan HG,Bán hàng hóa,129.200.164.379,64.053.323.486,-,-,,129200164379.0,64053323486.0,,
Công ty TNHH Một Thành viên Masan HG,Công ty TNHH Một Thành viên Masan HG,Công ty TNHH Một Thành viên Masan HG,Bán tài sản cố định,-,6.940.206,-,-,,,6940206.0,,
Công ty TNHH Một Thành viên Masan HG,Công ty TNHH Một Thành viên Masan HG,Công ty TNHH Một Thành viên Masan HG,Mua hàng hóa,2.335.612.071.870,1.080.392.011.272,(401.208.775.828),(435.458.908.979),,2335612071870.0,1080392011272.0,-401208775828.0,-435458908979.0
Công ty TNHH Một Thành viên Masan HG,Công ty TNHH Một Thành viên Masan HG,Công ty TNHH Một Thành viên Masan HG,Thu hồi các khoản cho vay bằng tiền,-,84.500.000.000,-,-,,,84500000000.0,,
Công ty TNHH Một Thành viên Masan HG,Công ty TNHH Một Thành viên Masan HG,Công ty TNHH Một Thành viên Masan HG,Thu nhập lãi cho vay,-,1.849.383.561,-,-,,,1849383561.0,,
Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Bán hàng hóa,11.804.068,11.444.584,6.305.753,-,,11804068.0,11444584.0,6305753.0,
Công ty Cổ phần Masan PQ,Công ty Cổ phần Masan PQ,Công ty Cổ phần Masan PQ,Bán hàng hóa,4.974.082,11.270.172,-,-,,4974082.0,11270172.0,,
Công ty Cổ phần Masan PQ,Công ty Cổ phần Masan PQ,Công ty Cổ phần Masan PQ,Mua hàng hóa,194.503.560,163.307.232,(208.521.844),-,,194503560.0,163307232.0,-208521844.0,
Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Bán hàng hóa,1.522.863.910,1.998.134.762,-,-,,1522863910.0,1998134762.0,,
Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Mua hàng hóa,86.425.569.590,171.404.168.668,(43.200.305.978),(37.578.511.695),,86425569590.0,171404168668.0,-43200305978.0,-37578511695.0
Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Phân phối lợi nhuận,6.304.920.000,846.270.310.000,-,107.211.095.000,,6304920000.0,846270310000.0,,107211095000.0
Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Bán hàng hóa,50.075.265.565,65.788.308.853,-,-,,50075265565.0,65788308853.0,,
Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Mua hàng hóa và dịch vụ,1.865.485.884.596,1.957.512.103.704,(382.201.922.442),(56.024.667.533),,1865485884596.0,1957512103704.0,-382201922442.0,-56024667533.0
