row_label_raw,row_label_full,Bên liên quan khác,392.344.113,-,numeric__392.344.113,numeric__-
Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),,
Bên liên quan khác,Phải thu về cho vay ngắn hạn (Thuyết minh 7) > Bên liên quan khác,Bên liên quan khác,657.000.000.000,-,657000000000.0,
Các khoản phải thu ngắn hạn khác (Thuyết minh 8(a)),Các khoản phải thu ngắn hạn khác (Thuyết minh 8(a)),Các khoản phải thu ngắn hạn khác (Thuyết minh 8(a)),Các khoản phải thu ngắn hạn khác (Thuyết minh 8(a)),Các khoản phải thu ngắn hạn khác (Thuyết minh 8(a)),,
Công ty con,Các khoản phải thu ngắn hạn khác (Thuyết minh 8(a)) > Công ty con,Công ty con,27.472.128.649,25.364.781.322,27472128649.0,25364781322.0
Công ty liên kết (iii),Các khoản phải thu ngắn hạn khác (Thuyết minh 8(a)) > Công ty liên kết (iii),Công ty liên kết (iii),1.840.698.245.048,1.444.016.352.715,1840698245048.0,1444016352715.0
Bên liên quan khác (iv),Các khoản phải thu ngắn hạn khác (Thuyết minh 8(a)) > Bên liên quan khác (iv),Bên liên quan khác (iv),3.615.995.863.591,2.780.306.085.017,3615995863591.0,2780306085017.0
,,,5.484.166.237.288,4.249.687.219.054,5484166237288.0,4249687219054.0
