row_label_raw,row_label_full,TSCD,TSCD_1,TSCD_2,TSCD_3,TSCD_4,TSCD_5,TSCD_6,numeric__TSCD_1,numeric__TSCD_2,numeric__TSCD_3,numeric__TSCD_4,numeric__TSCD_5,numeric__TSCD_6
,,,Tàu bay và các bộ phận VND,"Nhà cửa, vật kiến trúc VND",Máy móc thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,896.813.994.227,-,102.504.743.597,67.293.981.762,56.002.812.978,1.122.615.532.564,896813994227.0,,102504743597.0,67293981762.0,56002812978.0,1122615532564.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,-,3.029.396.300,695.819.800,3.725.216.100,,,,3029396300.0,695819800.0,3725216100.0
Xây dựng cơ bản mới hoàn thành (Thuyết minh 12),Nguyên giá > Xây dựng cơ bản mới hoàn thành (Thuyết minh 12),Xây dựng cơ bản mới hoàn thành (Thuyết minh 12),-,387.463.400.057,-,-,-,387.463.400.057,,387463400057.0,,,,387463400057.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,-,(985.409.342),-,(3.031.098.391),(4.016.507.733),,,-985409342.0,,-3031098391.0,-4016507733.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,896.813.994.227,387.463.400.057,101.519.334.255,70.323.378.062,53.667.534.387,1.509.787.640.988,896813994227.0,387463400057.0,101519334255.0,70323378062.0,53667534387.0,1509787640988.0
Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2021,Khẩu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,204.945.749.364,-,27.821.530.936,19.754.157.459,21.609.437.953,274.130.875.712,204945749364.0,,27821530936.0,19754157459.0,21609437953.0,274130875712.0
Khẩu hao trong năm,Khẩu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,44.877.940.212,18.172.790.992,15.601.287.929,7.435.632.895,4.102.482.212,90.190.134.240,44877940212.0,18172790992.0,15601287929.0,7435632895.0,4102482212.0,90190134240.0
Xóa số,Khẩu hao lũy kế > Xóa số,Xóa số,-,-,(985.409.342),-,(3.031.098.391),(4.016.507.733),,,-985409342.0,,-3031098391.0,-4016507733.0
Tại ngày 31 tháng 12 năm 2021,Khẩu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,249.823.689.576,18.172.790.992,42.437.409.523,27.189.790.354,22.680.821.774,360.304.502.219,249823689576.0,18172790992.0,42437409523.0,27189790354.0,22680821774.0,360304502219.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,691.868.244.863,-,74.683.212.661,47.539.824.303,34.393.375.025,848.484.656.852,691868244863.0,,74683212661.0,47539824303.0,34393375025.0,848484656852.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,646.990.304.651,369.290.609.065,59.081.924.732,43.133.587.708,30.986.712.613,1.149.483.138.769,646990304651.0,369290609065.0,59081924732.0,43133587708.0,30986712613.0,1149483138769.0
