row_label_raw,row_label_full,col_0,Dự phòng chỉ phíbảo dưỡngVND,Dự phòng hoàntrả tài sản thuêVND,TổngVND,numeric__Dự phòng chỉ phíbảo dưỡngVND,numeric__Dự phòng hoàntrả tài sản thuêVND,numeric__TổngVND
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,9.907.846.005.200,883.701.985.514,10.791.547.990.714,9907846005200.0,883701985514.0,10791547990714.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,1.452.184.662.783,272.063.217.675,1.724.247.880.458,1452184662783.0,272063217675.0,1724247880458.0
Giảm dự phòng trong năm,Giảm dự phòng trong năm,Giảm dự phòng trong năm,(128.140.482.634),-,(128.140.482.634),-128140482634.0,,-128140482634.0
Khác,Khác,Khác,(129.488.613.100),(11.929.862.386),(141.418.475.486),-129488613100.0,-11929862386.0,-141418475486.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,11.102.401.572.249,1.143.835.340.803,12.246.236.913.052,11102401572249.0,1143835340803.0,12246236913052.0
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.314.535.033.134,-,1.314.535.033.134,1314535033134.0,,1314535033134.0
Dải hạn,Dải hạn,Dải hạn,9.787.866.539.115,1.143.835.340.803,10.931.701.879.918,9787866539115.0,1143835340803.0,10931701879918.0
,,,11.102.401.572.249,1.143.835.340.803,12.246.236.913.052,11102401572249.0,1143835340803.0,12246236913052.0
