row_label_raw,row_label_full,Bán quyền mua chứng khoán kinh doanh,Bán quyền mua chứng khoán kinh doanh_1,Bán quyền mua chứng khoán kinh doanh_2,numeric__Bán quyền mua chứng khoán kinh doanh_1,numeric__Bán quyền mua chứng khoán kinh doanh_2
Thu nhập tử bán quyền mua,Thu nhập tử bán quyền mua,Thu nhập tử bán quyền mua,-,500.000.000.000,,500000000000.0
Nhận tiền thanh toán,Nhận tiền thanh toán,Nhận tiền thanh toán,-,300.000.000.000,,300000000000.0
