row_label_raw,row_label_full,col_0,Chi phí bảo dưỡngtàu bayVND,Chi phí hoàn tràtài sản thuếVND,Chi phí kiểm trava và sửa chữa lớnVND,"Phụ tùng xoayvòng, công cụ vàdụng cụVND",KhácVND,Tổng cộngVND,numeric__Chi phí bảo dưỡngtàu bayVND,numeric__Chi phí hoàn tràtài sản thuếVND,numeric__Chi phí kiểm trava và sửa chữa lớnVND,"numeric__Phụ tùng xoayvòng, công cụ vàdụng cụVND",numeric__KhácVND,numeric__Tổng cộngVND
Tai ngày 31 tháng 12 năm 2020,Tai ngày 31 tháng 12 năm 2020,Tai ngày 31 tháng 12 năm 2020,4.265.543.851.868,477.459.578.390,83.980.251.729,123.550.583.976,38.792.040.942,4.989.326.306.905,4265543851868.0,477459578390.0,83980251729.0,123550583976.0,38792040942.0,4989326306905.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,1.011.518.093.323,220.097.125.500,140.712.636.032,200.116.489.969,-,1.572.444.344.824,1011518093323.0,220097125500.0,140712636032.0,200116489969.0,,1572444344824.0
Xây dựng cơ bản mới hoàn thành(Thuyết minh 12),Xây dựng cơ bản mới hoàn thành(Thuyết minh 12),Xây dựng cơ bản mới hoàn thành(Thuyết minh 12),-,-,34.015.903.655,-,-,34.015.903.655,,,34015903655.0,,,34015903655.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(185.762.412.693),(65.401.508.392),(83.890.144.831),(141.389.747.912),(8.378.243.913),(484.822.057.741),-185762412693.0,-65401508392.0,-83890144831.0,-141389747912.0,-8378243913.0,-484822057741.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,(25.744.535.976),-,-,-,-,(25.744.535.976),-25744535976.0,,,,,-25744535976.0
Tai ngày 31 tháng 12 năm 2021,Tai ngày 31 tháng 12 năm 2021,Tai ngày 31 tháng 12 năm 2021,5.065.554.996.522,632.155.195.498,174.818.646.585,182.277.326.033,30.413.797.029,6.085.219.961.667,5065554996522.0,632155195498.0,174818646585.0,182277326033.0,30413797029.0,6085219961667.0
