row_label_raw,row_label_full,col_0,Phần mềmVND,numeric__Phần mềmVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,29.907.717.155,29907717155.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,959.235.000,959235000.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(21.283.135),-21283135.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,30.845.669.020,30845669020.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,28.875.220.855,28875220855.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,925.321.206,925321206.0
Xóa số,Khấu hao lũy kế > Xóa số,Xóa số,(21.283.135),-21283135.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,29.779.258.926,29779258926.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,1.032.496.300,1032496300.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,1.066.410.094,1066410094.0
