row_label_raw,row_label_full,Bên cho vay,Loại tiền,2021 VND,2020 VND,numeric__Loại tiền,numeric__2021 VND,numeric__2020 VND
Các khoản vay có tài sản đảm bảo,Các khoản vay có tài sản đảm bảo,Các khoản vay có tài sản đảm bảo,Các khoản vay có tài sản đảm bảo,Các khoản vay có tài sản đảm bảo,Các khoản vay có tài sản đảm bảo,,,
"Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan (Thuyết minh 37(b))(*)","Các khoản vay có tài sản đảm bảo > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan (Thuyết minh 37(b))(*)","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan (Thuyết minh 37(b))(*)",USD,2.384.576.498.152,1.921.659.266.962,,2384576498152.0,1921659266962.0
Các khoản vay không có tài sản đảm bảo,Các khoản vay không có tài sản đảm bảo,Các khoản vay không có tài sản đảm bảo,Các khoản vay không có tài sản đảm bảo,Các khoản vay không có tài sản đảm bảo,Các khoản vay không có tài sản đảm bảo,,,
Ngân hàng TMCP Công thương Việt Nam,Các khoản vay không có tài sản đảm bảo > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,1.860.409.702.905,1.973.275.655.305,,1860409702905.0,1973275655305.0
Ngân hàng Thương mại Cổ phần Xăng dấu Petrolimex,Các khoản vay không có tài sản đảm bảo > Ngân hàng Thương mại Cổ phần Xăng dấu Petrolimex,Ngân hàng Thương mại Cổ phần Xăng dấu Petrolimex,VND,349.735.795.752,449.735.795.752,,349735795752.0,449735795752.0
"Ngân hàng TNHH Một thành viên Woori Việt Nam, Chỉ nhánh Thành phố Hồ Chí Minh","Các khoản vay không có tài sản đảm bảo > Ngân hàng TNHH Một thành viên Woori Việt Nam, Chỉ nhánh Thành phố Hồ Chí Minh","Ngân hàng TNHH Một thành viên Woori Việt Nam, Chỉ nhánh Thành phố Hồ Chí Minh",VND,254.548.640.905,586.197.161.571,,254548640905.0,586197161571.0
Ngân hàng TMCP Hàng hải Việt Nam,Các khoản vay không có tài sản đảm bảo > Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,USD,187.669.268.452,226.640.066.933,,187669268452.0,226640066933.0
Ngân hàng TMCP Quản Đội,Các khoản vay không có tài sản đảm bảo > Ngân hàng TMCP Quản Đội,Ngân hàng TMCP Quản Đội,VND,-,1.080.441.555.760,,,1080441555760.0
"Ngân hàng TNHH Một thành viên United Overseas Bank Việt Nam, chỉ nhánh Hồ Chí Minh","Các khoản vay không có tài sản đảm bảo > Ngân hàng TNHH Một thành viên United Overseas Bank Việt Nam, chỉ nhánh Hồ Chí Minh","Ngân hàng TNHH Một thành viên United Overseas Bank Việt Nam, chỉ nhánh Hồ Chí Minh",VND,-,123.411.192.331,,,123411192331.0
Ngân hàng TNHH Một thành viên HSBC Việt Nam VND,Các khoản vay không có tài sản đảm bảo > Ngân hàng TNHH Một thành viên HSBC Việt Nam VND,Ngân hàng TNHH Một thành viên HSBC Việt Nam VND,,-,109.900.032.120,,,109900032120.0
,,,,5.036.939.906.166,6.471.260.726.734,,5036939906166.0,6471260726734.0
