row_label_raw,row_label_full,Ông Võ Thanh Hà > Ông Trần Mạnh Hoài > Ông Nguyễn Ngọc Nam > Bà Nguyễn Thị Hoài,Chủ tịch(từ ngày 1 tháng 3 năm 2020) > Chủ tịch(đến hết ngày 29 tháng 2 năm 2020) > Phó Chủ tịch(từ ngày 1 tháng 3 năm 2020)Thành viên(đến hết ngày 29 tháng 2 năm 2020) > Phó Chủ tịch(từ ngày 1 tháng 3 năm 2020),numeric__Chủ tịch(từ ngày 1 tháng 3 năm 2020) > Chủ tịch(đến hết ngày 29 tháng 2 năm 2020) > Phó Chủ tịch(từ ngày 1 tháng 3 năm 2020)Thành viên(đến hết ngày 29 tháng 2 năm 2020) > Phó Chủ tịch(từ ngày 1 tháng 3 năm 2020)
Ông Đỗ Ngọc Khanh,Ông Đỗ Ngọc Khanh,Ông Đỗ Ngọc Khanh,Thành viên,
Ông Bạch Ngọc Văn,Ông Bạch Ngọc Văn,Ông Bạch Ngọc Văn,Thành viên,
