row_label_raw,row_label_full,col_0,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Số ngàyquá hạn,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2020 > Giá gốcVND,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2020 > Dự phòngVND,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2020 > Giá trị cóthể thu hồiVND,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Số ngàyquá hạn_1,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2020 > Giá gốcVND,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2020 > Dự phòngVND,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2020 > Giá trị cóthể thu hồiVND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Số ngàyquá hạn,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2020 > Giá gốcVND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2020 > Dự phòngVND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2020 > Giá trị cóthể thu hồiVND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Số ngàyquá hạn_1,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2020 > Giá gốcVND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2020 > Dự phòngVND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2020 > Giá trị cóthể thu hồiVND
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,,,,,,
Công ty Cổ phần Tô Châu,Phải thu khác > Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Trên 5 năm,84.000.153.202,(84.000.153.202),-,Trên 5 năm,84.245.141.559,(84.245.141.559),-,,84000153202.0,-84000153202.0,,,84245141559.0,-84245141559.0,
Công ty Cổ phần Lươngthực Hậu Giang,Phải thu khác > Công ty Cổ phần Lươngthực Hậu Giang,Công ty Cổ phần Lươngthực Hậu Giang,Trên 5 năm,28.000.000.000,(28.000.000.000),-,Trên 5 năm,28.000.000.000,(28.000.000.000),-,,28000000000.0,-28000000000.0,,,28000000000.0,-28000000000.0,
Công ty Cổ phần Lươngthực Quảng Ngãi,Phải thu khác > Công ty Cổ phần Lươngthực Quảng Ngãi,Công ty Cổ phần Lươngthực Quảng Ngãi,Trên 5 năm,3.586.838.953,(3.586.838.953),-,Trên 5 năm,3.586.838.953,(3.118.761.930),468.077.023,,3586838953.0,-3586838953.0,,,3586838953.0,-3118761930.0,468077023.0
Doanh nghiệp tư nhân ChữTín,Phải thu khác > Doanh nghiệp tư nhân ChữTín,Doanh nghiệp tư nhân ChữTín,Trên 5 năm,5.297.314.070,(5.297.314.070),-,Trên 5 năm,5.297.314.070,(5.297.314.070),-,,5297314070.0,-5297314070.0,,,5297314070.0,-5297314070.0,
Công ty TNHH Thương mạiXuất nhập khẩu Hiệp Tài,Phải thu khác > Công ty TNHH Thương mạiXuất nhập khẩu Hiệp Tài,Công ty TNHH Thương mạiXuất nhập khẩu Hiệp Tài,Trên 5 năm,9.017.732.212,(9.017.732.212),-,Trên 5 năm,9.017.732.212,(9.017.732.212),-,,9017732212.0,-9017732212.0,,,9017732212.0,-9017732212.0,
Các khách hàng khác,Phải thu khác > Các khách hàng khác,Các khách hàng khác,Trên 5 năm,8.786.863.806,(8.786.863.806),-,Trên 5 năm,6.072.167.906,(6.072.167.906),-,,8786863806.0,-8786863806.0,,,6072167906.0,-6072167906.0,
,,,,138.688.902.243,(138.688.902.243),-,,136.219.194.700,(135.751.117.677),468.077.023,,138688902243.0,-138688902243.0,,,136219194700.0,-135751117677.0,468077023.0
Tài sản thiếu chờ xử lý(Thuyết minh 9),Phải thu khác > Tài sản thiếu chờ xử lý(Thuyết minh 9),Tài sản thiếu chờ xử lý(Thuyết minh 9),,662.031.631.654,(661.975.531.134),56.100.520,,661.975.531.134,(661.975.531.134),-,,662031631654.0,-661975531134.0,56100520.0,,661975531134.0,-661975531134.0,
,,,,1.334.535.676.385,(1.334.400.133.021),135.543.364,,1.332.482.679.466,(1.324.105.757.079),8.376.922.387,,1334535676385.0,-1334400133021.0,135543364.0,,1332482679466.0,-1324105757079.0,8376922387.0
