row_label_raw,row_label_full,Ngân hàng Thương mại Cổ phần An Bình – Chi nhánh An Giang,Thuyết minh > (ii),Loại tiền > VND,Năm đáo hạn > 2019 – 2022,31/12/2020 VND > 791.703.273,1/1/2020 VND > 1.487.611.273,numeric__Thuyết minh > (ii),numeric__Loại tiền > VND,numeric__Năm đáo hạn > 2019 – 2022,numeric__31/12/2020 VND > 791.703.273,numeric__1/1/2020 VND > 1.487.611.273
Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh▪ Khoản vay 1▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh▪ Khoản vay 1▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh▪ Khoản vay 1▪ Khoản vay 2,(ii)(i),VNDVND,20212022,450.000.0001.371.643.270,1.350.000.0002.237.944.270,,,20212022.0,4.5000000013716434e+18,1.3500000002237944e+19
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Đồng Tháp,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Đồng Tháp,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Đồng Tháp,"(ii), (iii)",VND,2020,4.730.000.000,850.000.000,,,2020.0,4730000000.0,850000000.0
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Đồng Tháp,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Đồng Tháp,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Đồng Tháp,(i),VND,2021,280.000.000,7.970.000.000,,,2021.0,280000000.0,7970000000.0
Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt – Chi nhánh Vĩnh Long,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt – Chi nhánh Vĩnh Long,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt – Chi nhánh Vĩnh Long,(i),VND,2020,-,2.716.307.798,,,2020.0,,2716307798.0
Ngân hàng Thương mại Cổ phần Việt Nam Thương Tín – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Việt Nam Thương Tín – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Việt Nam Thương Tín – Chi nhánh Thành phố Hồ Chí Minh,(ii),VND,2020,9.945.000.000,10.000.000.000,,,2020.0,9945000000.0,10000000000.0
Quỹ Phát triển Khoa học và Công Nghệ Tinh Bến Tre,Quỹ Phát triển Khoa học và Công Nghệ Tinh Bến Tre,Quỹ Phát triển Khoa học và Công Nghệ Tinh Bến Tre,(i),VND,2021,500.000.000,1.000.000.000,,,2021.0,500000000.0,1000000000.0
Quỹ Phát triển Khoa học và Công Nghệ Tinh Tiền Giang,Quỹ Phát triển Khoa học và Công Nghệ Tinh Tiền Giang,Quỹ Phát triển Khoa học và Công Nghệ Tinh Tiền Giang,(i),VND,2024,4.300.000.000,-,,,2024.0,4300000000.0,
,,,,,,22.368.346.543,27.611.863.341,,,,22368346543.0,27611863341.0
,,,,,,(16.753.045.364),(19.488.516.798),,,,-16753045364.0,-19488516798.0
Khoản đến hạn trả trong vòng 12 tháng (Thuyết minh 24(a)),Khoản đến hạn trả trong vòng 12 tháng (Thuyết minh 24(a)),Khoản đến hạn trả trong vòng 12 tháng (Thuyết minh 24(a)),Khoản đến hạn trả trong vòng 12 tháng (Thuyết minh 24(a)),Khoản đến hạn trả trong vòng 12 tháng (Thuyết minh 24(a)),Khoản đến hạn trả trong vòng 12 tháng (Thuyết minh 24(a)),5.615.301.179,8.123.346.543,,,,5615301179.0,8123346543.0
Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,,,,,
