row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịquản lýVND,Tài sãnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịquản lýVND,numeric__Tài sãnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.428.197.390.282,1.690.190.308.508,157.296.746.055,41.582.614.775,11.033.724.411,4.328.300.784.031,2428197390282.0,1690190308508.0,157296746055.0,41582614775.0,11033724411.0,4328300784031.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,442.245.456,2.064.260.000,128.000.000,295.104.955,-,2.801.610.411,442245456.0,2064260000.0,128000000.0,295104955.0,,2801610411.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,521.147.463,9.636.975.023,-,168.545.454,-,10.454.667.940,521147463.0,9636975023.0,,168545454.0,,10454667940.0
Chuyển từ tài sản cố định vô hình,Nguyên giá > Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,185.945.344,-,-,-,-,185.945.344,185945344.0,,,,,185945344.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(943.427.272),(1.522.177.102),-,-,(2.465.604.374),,-943427272.0,-1522177102.0,,,-2465604374.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.429.346.728.545,1.700.948.116.259,155.902.568.953,42.046.265.184,11.033.724.411,4.339.277.403.352,2429346728545.0,1700948116259.0,155902568953.0,42046265184.0,11033724411.0,4339277403352.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.210.365.936.090,961.426.099.348,111.477.701.803,33.127.755.145,6.788.708.507,2.323.186.200.893,1210365936090.0,961426099348.0,111477701803.0,33127755145.0,6788708507.0,2323186200893.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,106.021.597.443,110.766.702.411,12.893.231.722,2.259.626.732,419.743.583,232.360.901.891,106021597443.0,110766702411.0,12893231722.0,2259626732.0,419743583.0,232360901891.0
Chuyển từ tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,53.909.023,-,-,-,-,53.909.023,53909023.0,,,,,53909023.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(943.427.272),(1.343.280.356),-,-,(2.286.707.628),,-943427272.0,-1343280356.0,,,-2286707628.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.316.441.442.556,1.071.249.374.487,123.027.653.169,35.387.381.877,7.208.452.090,2.553.314.304.179,1316441442556.0,1071249374487.0,123027653169.0,35387381877.0,7208452090.0,2553314304179.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.217.831.454.192,728.764.209.160,45.819.044.252,8.454.859.630,4.245.015.904,2.005.114.583.138,1217831454192.0,728764209160.0,45819044252.0,8454859630.0,4245015904.0,2005114583138.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.112.905.285.989,629.698.741.772,32.874.915.784,6.658.883.307,3.825.272.321,1.785.963.099.173,1112905285989.0,629698741772.0,32874915784.0,6658883307.0,3825272321.0,1785963099173.0
