row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,170.851.640.936,6.459.154.866,9.648.001.027,186.958.796.829,170851640936.0,6459154866.0,9648001027.0,186958796829.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,-,(185.945.344),(185.945.344),,,-185945344.0,-185945344.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,170.851.640.936,6.459.154.866,9.462.055.683,186.772.851.485,170851640936.0,6459154866.0,9462055683.0,186772851485.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,13.805.353.442,6.051.402.407,7.950.994.125,27.807.749.974,13805353442.0,6051402407.0,7950994125.0,27807749974.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.719.298.271,334.468.786,123.930.375,3.177.697.432,2719298271.0,334468786.0,123930375.0,3177697432.0
Chuyển sang tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,-,(53.909.023),(53.909.023),,,-53909023.0,-53909023.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,16.524.651.713,6.385.871.193,8.021.015.477,30.931.538.383,16524651713.0,6385871193.0,8021015477.0,30931538383.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,157.046.287.494,407.752.459,1.697.006.902,159.151.046.855,157046287494.0,407752459.0,1697006902.0,159151046855.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,154.326.989.223,73.283.673,1.441.040.206,155.841.313.102,154326989223.0,73283673.0,1441040206.0,155841313102.0
