row_label_raw,row_label_full,col_0,col_1,col_2,col_3,col_4,col_5,col_6,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),numeric__col_1,numeric__col_2,numeric__col_3,numeric__col_4,numeric__col_5,numeric__col_6,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)
(b),(b),(b),Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,,,,,,,
(b),(b),(b),,Công cụ dụng cụ VND,Chi phí san lắp mặt bằng VND,Chi phí đất trả trước VND,Đầu tư khu du lịch Long Trị VND,Lợi thế kinh doanh VND,Chi phí trả trước dài hạn khác VND,,,,,,,
(b),(b) > (b),(b),Số dư đầu năm,7.282.743.331,56.497.004.870,72.189.840.114,5.799.044.155,33.375.516.125,14.493.033.327,,7282743331.0,56497004870.0,72189840114.0,5799044155.0,33375516125.0,14493033327.0
(b),(b) > (b),(b),Tăng trong năm,423.471.081,-,3.750.605.454,-,-,4.278.796.735,,423471081.0,,3750605454.0,,,4278796735.0
(b),(b) > (b),(b),Chuyển từ xây dựng cơ bảnđở dang,-,-,-,-,-,711.395.724,,,,,,,711395724.0
(b),(b) > (b),(b),Phân bổ trong năm,(3.603.304.085),(1.416.080.220),(2.335.636.414),(148.373.244),(18.662.330.329),(7.074.439.002),,-3603304085.0,-1416080220.0,-2335636414.0,-148373244.0,-18662330329.0,-7074439002.0
(b),(b) > (b),(b),Số dư cuối năm,4.102.910.327,55.080.924.650,73.604.809.154,5.650.670.911,14.713.185.796,12.408.786.784,,4102910327.0,55080924650.0,73604809154.0,5650670911.0,14713185796.0,12408786784.0
12.,12.,12.,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,,,
(a),(a),(a),Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,,,,,,,
(a),(a),(a),,,,,1/1/2020 VND,Số phải nộp trong năm VND,Số thực nộp trong năm VND,,,,,,,
(a),(a) > (a),(a),Thuế giá trị gia tăng,,,,100.357.843,-,-,,,,,100357843.0,,
(a),(a) > (a),(a),Thuế thu nhập doanh nghiệp,,,,3.656.772.447,-,-,,,,,3656772447.0,,
(a),(a) > (a),(a),Thuế thu nhập cá nhân,,,,101.022.657,(6.652.464),37.534.182,,,,,101022657.0,-6652464.0,37534182.0
(a),(a) > (a),(a),"Thuế nhà đất, tiền thuê đất",,,,-,-,13.592.857,,,,,,,13592857.0
(a),(a) > (a),(a),Các loại thuế khác,,,,-,(5.295.720),7.189.892,,,,,,-5295720.0,7189892.0
(a),(a) > (a),(a),,,,,3.858.152.947,(11.948.184),58.316.931,,,,,3858152947.0,-11948184.0,58316931.0
