row_label_raw,row_label_full,Phải thu khác,Nội dung nghiệp vụ,31/12/2024,01/01/2024,numeric__Nội dung nghiệp vụ,numeric__31/12/2024,numeric__01/01/2024
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Thanh lý thuê mặt bằng,102.251.188.544,-,,102251188544.0,
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,"Lãi cho vay, lãi hợp tác kinh doanh",151.405.428.533,423.380.961.423,,151405428533.0,423380961423.0
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Lãi hợp tác kinh doanh,694.707.060,87.003.731.823,,694707060.0,87003731823.0
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Vốn góp hợp tác kinh doanh,1.320.000.000.005,726.392.307.695,,1320000000005.0,726392307695.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Lãi cho vay,2.992.632.303,2.132.281.617,,2992632303.0,2132281617.0
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Lãi hợp tác kinh doanh,1.868.933.000,-,,1868933000.0,
Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,"Ký quỹ, ký cược",154.723.527.011,-,,154723527011.0,
Công ty Cổ phần Đầu tư SVG,Công ty Cổ phần Đầu tư SVG,Công ty Cổ phần Đầu tư SVG,Khác,-,20.000.000,,,20000000.0
Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Bán hàng và dịch vụ,-,793.510.718,,,793510718.0
Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Bán hàng và dịch vụ,-,1.911.437.500,,,1911437500.0
