row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_1,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_2,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_3,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_4,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_1,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_2,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_3,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_4
V.10. Tài sản cố định hữu hình,V.10. Tài sản cố định hữu hình,V.10. Tài sản cố định hữu hình,V.10. Tài sản cố định hữu hình,V.10. Tài sản cố định hữu hình,V.10. Tài sản cố định hữu hình,V.10. Tài sản cố định hữu hình,,,,
Khoản mục,Khoản mục,Khoản mục,Máy móc thiết bị,Phương tiện vận tải,Thiết bị dụng cụ quản lý,Tổng cộng,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,609.024.990,1.160.045.454,12.063.953.854,13.833.024.298,609024990.0,1160045454.0,12063953854.0,13833024298.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,54.000.000,54.000.000,,,54000000.0,54000000.0
Chuyển từ thuê tài chính,Nguyên giá > Chuyển từ thuê tài chính,Chuyển từ thuê tài chính,-,2.426.950.909,-,2.426.950.909,,2426950909.0,,2426950909.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(37.960.000),(1.355.633.340),(974.890.979),(2.368.484.319),-37960000.0,-1355633340.0,-974890979.0,-2368484319.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,571.064.990,2.231.363.023,11.143.062.875,13.945.490.888,571064990.0,2231363023.0,11143062875.0,13945490888.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,609.024.990,1.038.639.506,11.729.533.199,13.377.197.695,609024990.0,1038639506.0,11729533199.0,13377197695.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,364.817.619,132.171.908,496.989.527,,364817619.0,132171908.0,496989527.0
Chuyển từ thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ thuê tài chính,Chuyển từ thuê tài chính,-,939.580.109,-,939.580.109,,939580109.0,,939580109.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(37.960.000),(679.401.197),(959.133.402),(1.676.494.599),-37960000.0,-679401197.0,-959133402.0,-1676494599.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,571.064.990,1.663.636.037,10.902.571.705,13.137.272.732,571064990.0,1663636037.0,10902571705.0,13137272732.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,121.405.948,334.420.655,455.826.603,,121405948.0,334420655.0,455826603.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,567.726.986,240.491.170,808.218.156,,567726986.0,240491170.0,808218156.0
