row_label_raw,row_label_full,CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Hoạt động chính,CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Tỉnh trạng,CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 31/12/2024 > Tỷ lệ sở hữu (%),CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 31/12/2024 > Tỷ lệ biểu quyết (%),CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 31/12/2024 > Giá gốc (VND),CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 31/12/2024 > Giá trị theo phương pháp vốn chủ sở hữu (VND),CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 01/01/2024 > Tỷ lệ sở hữu (%),CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 01/01/2024 > Tỷ lệ biểu quyết (%),CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 01/01/2024 > Giá gốc (VND),CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 01/01/2024 > Giá trị theo phương pháp vốn chủ sở hữu (VND),numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Hoạt động chính,numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Tỉnh trạng,numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 31/12/2024 > Tỷ lệ sở hữu (%),numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 31/12/2024 > Tỷ lệ biểu quyết (%),numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 31/12/2024 > Giá gốc (VND),numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 31/12/2024 > Giá trị theo phương pháp vốn chủ sở hữu (VND),numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 01/01/2024 > Tỷ lệ sở hữu (%),numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 01/01/2024 > Tỷ lệ biểu quyết (%),numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 01/01/2024 > Giá gốc (VND),numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > 01/01/2024 > Giá trị theo phương pháp vốn chủ sở hữu (VND)
c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,,,,,,,,,,
Công ty Cổ phần May Tiến Phát,c.1. Đầu tư vào công ty liên kết > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Bắt động sản và dịch vụ thương mại,Đang hoạt động,"26,58","26,59",99.506.649.000,79.230.350.571,"22,51","22,51",57.818.980.907,73.535.006.494,,,26.58,26.59,99506649000.0,79230350571.0,22.51,22.51,57818980907.0,73535006494.0
Công ty Cổ phần Đầu tư SVG (1),c.1. Đầu tư vào công ty liên kết > Công ty Cổ phần Đầu tư SVG (1),Công ty Cổ phần Đầu tư SVG (1),Sản xuất và xây dựng,Đã thoái hết vốn,-,-,-,-,"50,00","49,89",1.000.000.000,188.283.491,,,,,,,50.0,49.89,1000000000.0,188283491.0
Cộng,c.1. Đầu tư vào công ty liên kết > Cộng,Cộng,Cộng,Cộng,Cộng,Cộng,99.506.649.000,79.230.350.571,,,58.818.980.907,73.723.289.985,,,,,99506649000.0,79230350571.0,,,58818980907.0,73723289985.0
c.2. Đầu tư vào đơn vị khác,c.2. Đầu tư vào đơn vị khác,c.2. Đầu tư vào đơn vị khác,c.2. Đầu tư vào đơn vị khác,c.2. Đầu tư vào đơn vị khác,c.2. Đầu tư vào đơn vị khác,c.2. Đầu tư vào đơn vị khác,31/12/2024,31/12/2024,31/12/2024,01/01/2024,01/01/2024,01/01/2024,,,,,,,,,,
,,,,,,Tỷ lệ sở hữu (%),Giá gốc (VND),Dự phòng (VND),,Tỷ lệ sở hữu (%),Giá gốc (VND),Dự phòng (VND),,,,,,,,,,
Công ty Cổ phần Khu công nghiệp Thành Thành Công (2),c.2. Đầu tư vào đơn vị khác > Công ty Cổ phần Khu công nghiệp Thành Thành Công (2),Công ty Cổ phần Khu công nghiệp Thành Thành Công (2),Công ty Cổ phần Khu công nghiệp Thành Thành Công (2),Đã thoái vốn,,-,-,-,,"11,15",412.521.636.000,-,,,,,,,,11.15,412521636000.0,
Công ty Cổ phần Thương mại và Xây dựng Phước Tân (3),c.2. Đầu tư vào đơn vị khác > Công ty Cổ phần Thương mại và Xây dựng Phước Tân (3),Công ty Cổ phần Thương mại và Xây dựng Phước Tân (3),Công ty Cổ phần Thương mại và Xây dựng Phước Tân (3),Đang hoạt động,"11,33",177.333.985.000,-,,,"19,88",311.215.800.000,-,,,11.33,177333985000.0,,,,19.88,311215800000.0,
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh (4),c.2. Đầu tư vào đơn vị khác > Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh (4),Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh (4),Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh (4),Đang hoạt động,"7,06",209.092.600.000,-,,,"1,52",43.350.000.000,-,,,7.06,209092600000.0,,,,1.52,43350000000.0,
Công ty Cổ phần Nội thất 68,c.2. Đầu tư vào đơn vị khác > Công ty Cổ phần Nội thất 68,Công ty Cổ phần Nội thất 68,Công ty Cổ phần Nội thất 68,Đang hoạt động,"6,61",1.600.000.000,(1.600.000.000),,,"8,00",1.600.000.000,(773.618.368),,,6.61,1600000000.0,-1600000000.0,,,8.0,1600000000.0,-773618368.0
Công ty Cổ phần Toàn Hải Vân (5),c.2. Đầu tư vào đơn vị khác > Công ty Cổ phần Toàn Hải Vân (5),Công ty Cổ phần Toàn Hải Vân (5),Công ty Cổ phần Toàn Hải Vân (5),Đang hoạt động,"10,05",678.606.600.000,-,,,-,-,-,,,10.05,678606600000.0,,,,,,
Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,c.2. Đầu tư vào đơn vị khác > Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Đang hoạt động,"0,62",14.951.584,(14.951.584),,,"0,62",14.951.584,-,,,0.62,14951584.0,-14951584.0,,,0.62,14951584.0,
Cộng,c.2. Đầu tư vào đơn vị khác > Cộng,Cộng,Cộng,Cộng,Cộng,1.066.648.136.584,(1.614.951.584),,,,768.702.387.584,(773.618.368),,,,1066648136584.0,-1614951584.0,,,,768702387584.0,-773618368.0
