row_label_raw,row_label_full,Tiền phạt vi phạm hành chính,9.667.635.948,9.357.274.070,numeric__9.667.635.948,numeric__9.357.274.070
Tiền bồi thường do vi phạm hợp đồng,Tiền bồi thường do vi phạm hợp đồng,Tiền bồi thường do vi phạm hợp đồng,2.016.276.381,14.886.746.312,2016276381.0,14886746312.0
"Lỗ thanh lý công cụ, dụng cụ","Lỗ thanh lý công cụ, dụng cụ","Lỗ thanh lý công cụ, dụng cụ",18.480.000,-,18480000.0,
Các khoản chi phí khác,Các khoản chi phí khác,Các khoản chi phí khác,1.358.101.283,291.200.521,1358101283.0,291200521.0
Cộng,Cộng,Cộng,13.060.493.612,24.535.220.903,13060493612.0,24535220903.0
