row_label_raw,row_label_full,Thu nhập từ các khoản ủy thác đầu tư,15.120.033.160,-,numeric__15.120.033.160,numeric__-
Thu nhập từ phạt vi phạm hợp đồng,Thu nhập từ phạt vi phạm hợp đồng,Thu nhập từ phạt vi phạm hợp đồng,553.455.126,26.578.016.239,553455126.0,26578016239.0
"Thu nhập từ thanh lý công cụ, dụng cụ","Thu nhập từ thanh lý công cụ, dụng cụ","Thu nhập từ thanh lý công cụ, dụng cụ",403.270.689,120.040.251,403270689.0,120040251.0
Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,261.224.070,-,261224070.0,
Các khoản thu nhập khác,Các khoản thu nhập khác,Các khoản thu nhập khác,404.103.893,219.025.979,404103893.0,219025979.0
Cộng,Cộng,Cộng,16.742.086.938,26.917.082.469,16742086938.0,26917082469.0
