row_label_raw,row_label_full,col_0,Giá trị,Dự phòng,Giá trị_1,Dự phòng_1,numeric__Giá trị,numeric__Dự phòng,numeric__Giá trị_1,numeric__Dự phòng_1
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,550.359.936.010,-,901.088.526.035,-,550359936010.0,,901088526035.0,
Trà trước cho người bán là các bên liên quan (xem thuyết minh IX.3),Trà trước cho người bán là các bên liên quan (xem thuyết minh IX.3),Trà trước cho người bán là các bên liên quan (xem thuyết minh IX.3),25.685.378.781,-,336.735.969.471,-,25685378781.0,,336735969471.0,
Công ty Cổ phần Nội thất 68 (1),Công ty Cổ phần Nội thất 68 (1),Công ty Cổ phần Nội thất 68 (1),410.888.181.800,-,204.978.181.800,-,410888181800.0,,204978181800.0,
Công ty TNHH Đầu tư Sabeco HP (2),Công ty TNHH Đầu tư Sabeco HP (2),Công ty TNHH Đầu tư Sabeco HP (2),-,-,227.355.785.711,-,,,227355785711.0,
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,113.786.375.429,-,132.018.589.053,-,113786375429.0,,132018589053.0,
b. Dài hạn,b. Dài hạn,b. Dài hạn,397.367.546.202,-,145.481.128.568,-,397367546202.0,,145481128568.0,
"Công ty Cổ phần Toàn Hải Vân (bên liên quan, xem thuyết minh IX.3) (3)","Công ty Cổ phần Toàn Hải Vân (bên liên quan, xem thuyết minh IX.3) (3)","Công ty Cổ phần Toàn Hải Vân (bên liên quan, xem thuyết minh IX.3) (3)",145.481.128.568,-,145.481.128.568,-,145481128568.0,,145481128568.0,
Công ty TNHH Đầu tư Sabeco HP (2),Công ty TNHH Đầu tư Sabeco HP (2),Công ty TNHH Đầu tư Sabeco HP (2),227.355.785.711,-,-,-,227355785711.0,,,
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,24.530.631.923,-,-,-,24530631923.0,,,
Cộng,Cộng,Cộng,947.727.482.212,-,1.046.569.654.603,-,947727482212.0,,1046569654603.0,
