row_label_raw,row_label_full,Phải thu khác là các bên liên quan (xem thuyết minh IX.3),1.733.936.416.456,-,1.241.634.230.776,-_1,numeric__1.733.936.416.456,numeric__-,numeric__1.241.634.230.776,numeric__-_1
Phải thu các đối tượng khác,Phải thu các đối tượng khác,Phải thu các đối tượng khác,544.962.960.272,(4.604.229.924),469.265.244.862,(3.577.408.006),544962960272.0,-4604229924.0,469265244862.0,-3577408006.0
Cộng,Cộng,Cộng,2.278.899.376.728,(4.604.229.924),1.710.899.475.638,(3.577.408.006),2278899376728.0,-4604229924.0,1710899475638.0,-3577408006.0
