row_label_raw,row_label_full,CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > V.23. Vốn chủ sở hữua. Bảng đối chiếu biến động của Vốn chủ sở hữuKhoản mục > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Số dư đầu năm trước > Lợi nhuận trong năm,CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Vốn góp củachủ sở hữu > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 3.956.617.750.000,CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Thặng dưvốn cổ phần > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 333.103.781.211 > -,CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Quỹ đầu tưphát triển > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 156.557.329.395 > -,CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Quỹ khác thuộcvốn chủ sở hữu > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 24.890.292.522 > -,CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Lợi nhuận sauthuế chưaphân phối > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 391.519.407.503 > 8.718.697.546,CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Lợi ích cổ đôngkhông kiểm soát > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 205.337.742.497 > 6.703.682.780,CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 5.068.026.303.128 > 15.422.380.326,numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Vốn góp củachủ sở hữu > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 3.956.617.750.000,numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Thặng dưvốn cổ phần > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 333.103.781.211 > -,numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Quỹ đầu tưphát triển > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 156.557.329.395 > -,numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Quỹ khác thuộcvốn chủ sở hữu > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 24.890.292.522 > -,numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Lợi nhuận sauthuế chưaphân phối > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 391.519.407.503 > 8.718.697.546,numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Lợi ích cổ đôngkhông kiểm soát > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 205.337.742.497 > 6.703.682.780,numeric__CÔNG TY CỔ PHẦN ĐỊA ÓC SÀI GÒN THƯƠNG TÍNBẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁTCho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > 5.068.026.303.128 > 15.422.380.326
Cổ tức cho NCI,Cổ tức cho NCI,Cổ tức cho NCI,,-,-,-,-,(148.081.800),(148.081.800),,,,,,-148081800.0,-148081800.0
Thay đổi phần sở hữu của công ty mẹtrong tài sản thuần của công ty con,Thay đổi phần sở hữu của công ty mẹtrong tài sản thuần của công ty con,Thay đổi phần sở hữu của công ty mẹtrong tài sản thuần của công ty con,,-,-,-,5.814.157.854,36.035.842.146,41.850.000.000,,,,,5814157854.0,36035842146.0,41850000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.956.617.750.000,333.103.781.211,156.557.329.395,24.890.292.522,406.052.262.903,247.929.185.623,5.125.150.601.654,3956617750000.0,333103781211.0,156557329395.0,24890292522.0,406052262903.0,247929185623.0,5125150601654.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,,,,
Số dư đầu năm nay,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Số dư đầu năm nay,Số dư đầu năm nay,3.956.617.750.000,333.103.781.211,156.557.329.395,24.890.292.522,406.052.262.903,247.929.185.623,5.125.150.601.654,3956617750000.0,333103781211.0,156557329395.0,24890292522.0,406052262903.0,247929185623.0,5125150601654.0
Phát hành cổ phiếu để hoán đối nợ (*),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Phát hành cổ phiếu để hoán đối nợ (*),Phát hành cổ phiếu để hoán đối nợ (*),349.332.610.000,(470.000.000),,-,-,-,348.862.610.000,349332610000.0,-470000000.0,,,,,348862610000.0
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Lợi nhuận trong năm,Lợi nhuận trong năm,,-,-,-,2.936.733.122,1.311.149.146,4.247.882.268,,,,,2936733122.0,1311149146.0,4247882268.0
"Trích quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",,-,-,-,(6.172.957.432),-,(6.172.957.432),,,,,-6172957432.0,,-6172957432.0
Chi hoạt động của HĐQT,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Chi hoạt động của HĐQT,Chi hoạt động của HĐQT,,-,-,-,(4.800.000.000),-,(4.800.000.000),,,,,-4800000000.0,,-4800000000.0
Cổ tức cho NCI,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Cổ tức cho NCI,Cổ tức cho NCI,,-,-,-,-,(2.169.441.620),(2.169.441.620),,,,,,-2169441620.0,-2169441620.0
Thay đổi phần sở hữu của công ty mẹtrong tài sản thuần của công ty con,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Thay đổi phần sở hữu của công ty mẹtrong tài sản thuần của công ty con,Thay đổi phần sở hữu của công ty mẹtrong tài sản thuần của công ty con,,-,-,-,55.711.772,21.271.744,76.983.516,,,,,55711772.0,21271744.0,76983516.0
Số dư cuối năm nay,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Số dư cuối năm nay,Số dư cuối năm nay,4.305.950.360.000,332.633.781.211,156.557.329.395,24.890.292.522,398.071.750.365,247.092.164.893,5.465.195.678.386,4305950360000.0,332633781211.0,156557329395.0,24890292522.0,398071750365.0,247092164893.0,5465195678386.0
