row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Quyền thuê đất (*),Phần mềm,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Quyền thuê đất (*),numeric__Phần mềm,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,90.175.781.818,119.454.114.181,21.972.719.616,231.602.615.615,90175781818.0,119454114181.0,21972719616.0,231602615615.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,93.900.000,93.900.000,,,93900000.0,93900000.0
"Thanh lý, nhuộng bán","Nguyên giá > Thanh lý, nhuộng bán","Thanh lý, nhuộng bán",(90.175.781.818),-,-,(90.175.781.818),-90175781818.0,,,-90175781818.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,(86.962.500),(86.962.500),,,-86962500.0,-86962500.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,-,119.454.114.181,21.979.657.116,141.433.771.297,,119454114181.0,21979657116.0,141433771297.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,25.996.994.273,12.175.733.024,38.172.727.297,,25996994273.0,12175733024.0,38172727297.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,3.684.959.820,2.671.336.340,6.356.296.160,,3684959820.0,2671336340.0,6356296160.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,29.681.954.093,14.847.069.364,44.529.023.457,,29681954093.0,14847069364.0,44529023457.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,90.175.781.818,93.457.119.908,9.796.986.592,193.429.888.318,90175781818.0,93457119908.0,9796986592.0,193429888318.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,89.772.160.088,7.132.587.752,96.904.747.840,,89772160088.0,7132587752.0,96904747840.0
