row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc (*)",Tổng cộng,"numeric__Nhà cửa, vật kiến trúc (*)",numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,990.146.280.377,990.146.280.377,990146280377.0,990146280377.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(16.518.558.367),(16.518.558.367),-16518558367.0,-16518558367.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(108.256.000.000),(108.256.000.000),-108256000000.0,-108256000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,865.371.722.010,865.371.722.010,865371722010.0,865371722010.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,132.854.392.204,132.854.392.204,132854392204.0,132854392204.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,34.610.177.384,34.610.177.384,34610177384.0,34610177384.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.712.668.093),(5.712.668.093),-5712668093.0,-5712668093.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(6.490.907.242),(6.490.907.242),-6490907242.0,-6490907242.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,155.260.994.253,155.260.994.253,155260994253.0,155260994253.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,857.291.888.173,857.291.888.173,857291888173.0,857291888173.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,710.110.727.757,710.110.727.757,710110727757.0,710110727757.0
