row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2024,01/01/2024,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024,numeric__01/01/2024
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,6.970.315.188.477,7.531.569.091.983,100.0,,6970315188477.0,7531569091983.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,V.1,175.042.635.149,114.897.411.668,110.0,,175042635149.0,114897411668.0
1. Tiền,1. Tiền,1. Tiền,111,,151.439.112.928,40.175.541.194,111.0,,151439112928.0,40175541194.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,23.603.522.221,74.721.870.474,112.0,,23603522221.0,74721870474.0
II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,120,,98.362.754.011,18.115.148.432,120.0,,98362754011.0,18115148432.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,V.2a,2.863.432,2.863.432,121.0,,2863432.0,2863432.0
2. Đầu tư nằm giữ đến ngày đáo hạn,2. Đầu tư nằm giữ đến ngày đáo hạn,2. Đầu tư nằm giữ đến ngày đáo hạn,123,V.2b1,98.359.890.579,18.112.285.000,123.0,,98359890579.0,18112285000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,3.187.064.947.172,3.569.276.405.265,130.0,,3187064947172.0,3569276405265.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,V.3,251.856.406.232,441.396.105.942,131.0,,251856406232.0,441396105942.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,V.4a,550.359.936.010,901.088.526.035,132.0,,550359936010.0,901088526035.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,V.5a,1.700.033.232.475,1.287.030.494.445,135.0,,1700033232475.0,1287030494445.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,V.6a,697.134.695.950,962.359.438.345,136.0,,697134695950.0,962359438345.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,"V.3,6a",(12.319.323.495),(22.598.159.502),137.0,,-12319323495.0,-22598159502.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,V.8,3.337.206.353.146,3.663.741.049.991,140.0,,3337206353146.0,3663741049991.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,3.338.186.767.794,3.664.721.464.639,141.0,,3338186767794.0,3664721464639.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(980.414.648),(980.414.648),149.0,,-980414648.0,-980414648.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,172.638.498.999,165.539.076.627,150.0,,172638498999.0,165539076627.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,V.14a,12.290.668.571,6.025.162.831,151.0,,12290668571.0,6025162831.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,V.18c,156.637.350.337,159.513.220.605,152.0,,156637350337.0,159513220605.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,V.18b,3.710.480.091,693.191,153.0,,3710480091.0,693191.0
