row_label_raw,row_label_full,6. Phải thu khác,31/12/2024 > Giá trị,31/12/2024 > Dự phòng,01/01/2024 > Giá trị,01/01/2024 > Dự phòng,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Dự phòng,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Dự phòng
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,697.134.695.950,(4.604.229.924),962.359.438.345,(3.577.408.006),697134695950.0,-4604229924.0,962359438345.0,-3577408006.0
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,50.660.973.157,-,42.545.399.052,-,50660973157.0,,42545399052.0,
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",792.400.000,-,314.400.000,-,792400000.0,,314400000.0,
"Phải thu về lãi tiền gửi, lãi cho vay (1)","Phải thu về lãi tiền gửi, lãi cho vay (1)","Phải thu về lãi tiền gửi, lãi cho vay (1)",326.824.877.896,-,564.081.260.097,-,326824877896.0,,564081260097.0,
Phải thu lãi hợp tác kinh doanh,Phải thu lãi hợp tác kinh doanh,Phải thu lãi hợp tác kinh doanh,694.707.060,-,97.864.279.823,-,694707060.0,,97864279823.0,
"Phải thu cổ tức, lợi nhuận được chia","Phải thu cổ tức, lợi nhuận được chia","Phải thu cổ tức, lợi nhuận được chia",11.130.000.000,-,-,-,11130000000.0,,,
Phải thu uỷ thác đầu tư,Phải thu uỷ thác đầu tư,Phải thu uỷ thác đầu tư,38.603.753.916,-,84.493.391.551,-,38603753916.0,,84493391551.0,
Phải thu góp vốn hợp tác kinh doanh (2),Phải thu góp vốn hợp tác kinh doanh (2),Phải thu góp vốn hợp tác kinh doanh (2),118.538.309.009,-,127.144.695.008,-,118538309009.0,,127144695008.0,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,149.889.674.912,(4.604.229.924),45.916.012.814,(3.577.408.006),149889674912.0,-4604229924.0,45916012814.0,-3577408006.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,1.581.764.680.778,-,748.540.037.293,-,1581764680778.0,,748540037293.0,
Phải thu góp vốn hợp tác kinh doanh (2),Phải thu góp vốn hợp tác kinh doanh (2),Phải thu góp vốn hợp tác kinh doanh (2),1.379.394.727.767,-,694.935.616.633,-,1379394727767.0,,694935616633.0,
Đặt cọc để thực hiện dự án (3),Đặt cọc để thực hiện dự án (3),Đặt cọc để thực hiện dự án (3),42.000.000.000,-,42.000.000.000,-,42000000000.0,,42000000000.0,
"Ký cược, ký quỹ (4)","Ký cược, ký quỹ (4)","Ký cược, ký quỹ (4)",160.369.953.011,-,11.604.420.660,-,160369953011.0,,11604420660.0,
Cộng (*),Cộng (*),Cộng (*),2.278.899.376.728,(4.604.229.924),1.710.899.475.638,(3.577.408.006),2278899376728.0,-4604229924.0,1710899475638.0,-3577408006.0
