row_label_raw,row_label_full,Thu nhập của các thành viên Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên Hội đồng Quản trị và Ban Tổng Giám đốc_1,Năm 2024,Năm 2023,numeric__Thu nhập của các thành viên Hội đồng Quản trị và Ban Tổng Giám đốc_1,numeric__Năm 2024,numeric__Năm 2023
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,3.938.461.536,3.774.360.408,,3938461536.0,3774360408.0
Ông Nguyễn Thành Chương,Ông Nguyễn Thành Chương,Ông Nguyễn Thành Chương,Chủ tịch HĐQT (bổ nhiệm ngày 23/4/2024),966.666.668,383.333.663,,966666668.0,383333663.0
Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Chủ tịch HĐQT (miễn nhiệm ngày 23/4/2024),433.333.332,1.150.000.000,,433333332.0,1150000000.0
Ông Đăng Hồng Anh,Ông Đăng Hồng Anh,Ông Đăng Hồng Anh,Phó Chủ tịch HĐQT,1.048.717.952,973.077.235,,1048717952.0,973077235.0
Ông Võ Quốc Khánh,Ông Võ Quốc Khánh,Ông Võ Quốc Khánh,Thành viên HĐQT,956.410.256,884.615.847,,956410256.0,884615847.0
Ông Phạm Trung Kiên,Ông Phạm Trung Kiên,Ông Phạm Trung Kiên,Thành viên HĐQT,266.666.664,-,,266666664.0,
Ông Lê Quang Vũ,Ông Lê Quang Vũ,Ông Lê Quang Vũ,Thành viên HĐQT,266.666.664,-,,266666664.0,
Ông Hoàng Mạnh Tiến,Ông Hoàng Mạnh Tiến,Ông Hoàng Mạnh Tiến,Thành viên HĐQT (miễn nhiệm ngày 23/4/2024),-,383.333.663,,,383333663.0
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,,866.452.000,-,,866452000.0,
Ông Võ Thanh Lâm,Ông Võ Thanh Lâm,Ông Võ Thanh Lâm,Tổng Giám đốc,866.452.000,-,,866452000.0,
Cộng,Cộng,Cộng,,4.804.913.536,3.774.360.408,,4804913536.0,3774360408.0
