row_label_raw,row_label_full,"9. Chi phí sản xuất, kinh doanh dỡ dang dài hạn",31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
Dự án Charmington Dragonic,Dự án Charmington Dragonic,Dự án Charmington Dragonic,599.988.019.537,-,599988019537.0,
"Các công trình, dự án khác","Các công trình, dự án khác","Các công trình, dự án khác",12.349.047.694,-,12349047694.0,
Cộng,Cộng,Cộng,612.337.067.231,-,612337067231.0,
