row_label_raw,row_label_full,Khoản mục,"Phương tiện,vận tải",Tổng cộng,"numeric__Phương tiện,vận tải",numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.963.043.637,4.963.043.637,4963043637.0,4963043637.0
Mua lại tài sản cố định thuê tài chính,Nguyên giá > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,(2.426.950.909),(2.426.950.909),-2426950909.0,-2426950909.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.536.092.728,2.536.092.728,2536092728.0,2536092728.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.603.794.869,1.603.794.869,1603794869.0,1603794869.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,362.298.960,362.298.960,362298960.0,362298960.0
Mua lại tài sản cố định thuê tài chính,Giá trị hao mòn lũy kế > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,(939.580.109),(939.580.109),-939580109.0,-939580109.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.026.513.720,1.026.513.720,1026513720.0,1026513720.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.359.248.768,3.359.248.768,3359248768.0,3359248768.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.509.579.008,1.509.579.008,1509579008.0,1509579008.0
