row_label_raw,row_label_full,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín,15.548.466.308,(4.194.643.503),numeric__15.548.466.308,numeric__(4.194.643.503)
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,260.140.605,576.084.008,260140605.0,576084008.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,1.477.386.878,3.670.340.234,1477386878.0,3670340234.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,62.028.385,(372.816.486),62028385.0,-372816486.0
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,4.011.372.413,9.102.628.049,4011372413.0,9102628049.0
Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,8.440.406,(936.805.237),8440406.0,-936805237.0
Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,4.123.712.281,2.309.097.349,4123712281.0,2309097349.0
Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,178.014.473,197.078.613,178014473.0,197078613.0
Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,197.633.551,1.294.752,197633551.0,1294752.0
Các công ty Con khác,Các công ty Con khác,Các công ty Con khác,-,82.198.361,,82198361.0
Cộng,Cộng,Cộng,25.867.195.300,10.434.456.140,25867195300.0,10434456140.0
