row_label_raw,row_label_full,Phải thu khách hàng,Nội dung nghiệp vụ,31/12/2024,01/01/2024,numeric__Nội dung nghiệp vụ,numeric__31/12/2024,numeric__01/01/2024
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Thanh lý khoản đầu tư,-,207.540.000.000,,,207540000000.0
,,,Cung cấp dịch vụ,32.857.616.285,33.719.844.348,,32857616285.0,33719844348.0
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Cung cấp dịch vụ,1.483.014.147,3.508.021.707,,1483014147.0,3508021707.0
Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Cung cấp dịch vụ,13.405.727.879,-,,13405727879.0,
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Cung cấp dịch vụ,18.260.000.000,-,,18260000000.0,
Công ty Cổ phần Công nghiệp Phụ trợ S&D,Công ty Cổ phần Công nghiệp Phụ trợ S&D,Công ty Cổ phần Công nghiệp Phụ trợ S&D,Cung cấp dịch vụ,3.000.000.000,-,,3000000000.0,
Công ty TNHH Du lịch Thành Thành Công Lâm Đồng,Công ty TNHH Du lịch Thành Thành Công Lâm Đồng,Công ty TNHH Du lịch Thành Thành Công Lâm Đồng,Cung cấp dịch vụ,-,1.900.000.000,,,1900000000.0
Công ty Cổ phần Đầu Tư Thành Thành Công,Công ty Cổ phần Đầu Tư Thành Thành Công,Công ty Cổ phần Đầu Tư Thành Thành Công,Cung cấp dịch vụ,3.834.000,-,,3834000.0,
Cộng,Cộng,Cộng,,69.010.192.311,246.667.866.055,,69010192311.0,246667866055.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,31/12/2024,01/01/2024,,,
Công ty Cổ phần Toàn Hải Vân,Trả trước cho người bán > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Mua nhà phố,20.799.000.000,331.849.590.690,,20799000000.0,331849590690.0
,,,Nhận chuyển nhượng QSĐĐ,145.481.128.568,145.481.128.568,,145481128568.0,145481128568.0
Công ty Cổ phần May Tiến Phát,Trả trước cho người bán > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Mua hàng và dịch vụ,2.974.941.281,2.974.941.281,,2974941281.0,2974941281.0
Bà Huỳnh Bích Ngọc,Trả trước cho người bán > Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Mua hàng và dịch vụ,1.911.437.500,1.911.437.500,,1911437500.0,1911437500.0
Cộng,Trả trước cho người bán > Cộng,Cộng,,171.166.507.349,482.217.098.039,,171166507349.0,482217098039.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,31/12/2024,01/01/2024,,,
Công ty Cổ phần May Tiến Phát,Phải thu về cho vay > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Cho vay,1.073.399.038.030,986.184.000.000,,1073399038030.0,986184000000.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu về cho vay > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cho vay,8.580.000.000,8.580.000.000,,8580000000.0,8580000000.0
Cộng,Phải thu về cho vay > Cộng,Cộng,,1.081.979.038.030,994.764.000.000,,1081979038030.0,994764000000.0
